species,life_form,source,notes_1,notes_2
Lysimachia maxima (R.Knuth) H.St.John H.St.John (R.Knuth),perennial,https://www.fws.gov/species/pelekunu-trail-yellow-loosestrife-lysimachia-maxima,manually_curated,shrub
Lysimachia remyi Hillebr.,perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia filifolia C.N.Forbes & Lydgate,perennial,,,
Lysimachia L._indet_sp1,no_life_form_on_database,,,
Lysimachia waianaeensis H.St.John,perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia ovoidea H.St.John,perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia daphnoides (A.Gray) Hillebr. Hillebr. (A.Gray),perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia iniki K.L.Marr,perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia pendens K.L.Marr,perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia glutinosa Rock,perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia kalalauensis Skottsb.,perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia scopulensis K.L.Marr,perennial,"Pacific Science (1997), vol. 51, no. 3: 254-287",manually_curated,
Lysimachia clethroides Duby,perennial,,,
Lysimachia fortunei Maxim.,perennial,,,
Lysimachia barystachys Bunge,perennial,,,
Lysimachia chikungensis L.H.Bailey,no_life_form_on_database,,,
Lysimachia candida Lindl.,annual,,,
Lysimachia chenopodioides Watt,annual,,,
Lysimachia pumila Poepp. ex Knuth,perennial,,,
Lysimachia lobelioides Wall.,annual,,,
Lysimachia lichiangensis Forrest,perennial,,,
Lysimachia taliensis Bonati,perennial,,,
Lysimachia decurrens G.Forst.,perennial,,,
Lysimachia silvestrii (Pamp.) Hand.-Mazz. Hand.-Mazz. (Pamp.),annual,,,
Lysimachia auriculata Hemsl.,perennial,,,
Lysimachia circaeoides Hemsl.,perennial,,,
Lysimachia glanduliflora Hanelt,perennial,,,
Lysimachia stenosepala Hemsl.,perennial,,,
Lysimachia L._indet_sp2,no_life_form_on_database,,,
Lysimachia ruhmeriana Vatke,perennial,,,
Lysimachia ephemerum Thunb.,perennial,,,
Lysimachia heterogenea Hemsl.,perennial,,,
Lysimachia mauritiana Lam.,annual,,,
Lysimachia pentapetala Bunge,annual,,,
Lysimachia crispidens (Hance) Hemsl. Hemsl. (Hance),annual,,,
Lysimachia erosipetala F.H.Chen & C.M.Hu,perennial,,,
Lysimachia omeiensis Hemsl.,perennial,,,
Lysimachia hemsleyi Franch.,perennial,,,
Lysimachia L._indet_sp3,no_life_form_on_database,,,
Lysimachia nanchuanensis C.Y.Wu,perennial,,,
Lysimachia rubiginosa Hemsl.,perennial,,,
Lysimachia fistulosa Hand.-Mazz.,perennial,,,
Lysimachia phyllocephala Hand.-Mazz.,perennial,,,
Lysimachia punctatilimba C.Y.Wu,perennial,,,
Lysimachia melampyroides R.Knuth,perennial,,,
Lysimachia deltoidea Wight,perennial,,,
Lysimachia chekiangensis C.C.Wu,perennial,,,
Lysimachia hemsleyana Maxim. ex Oliv.,perennial,,,
Lysimachia pseudohenryi Pamp.,perennial,,,
Lysimachia perfoliata Hand.-Mazz.,perennial,,,
Lysimachia japonica Thunb.,perennial,,,
Lysimachia grammica Hance,perennial,,,
Lysimachia christinae Hance,perennial,,,
Lysimachia congestiflora Hemsl.,perennial,,,
Lysimachia drymarifolia Franch.,perennial,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200017007,manually_curated,
Lysimachia fordiana Oliv.,perennial,,,
Lysimachia paridiformis Franch.,perennial,,,
"Lysimachia dextrorsiflora X.P.Zhang, X.H.Guo & J.W.Shao",no_life_form_on_database,,,
Lysimachia alfredii Hance,perennial,,,
Lysimachia patungensis Hand.-Mazz.,perennial,,,
Lysimachia klattiana Hance,perennial,,,
Lysimachia longipes Hemsl.,annual,,,
Glaux maritima L.,perennial,https://www.brc.ac.uk/plantatlas/plant/glaux-maritima,manually_curated,
Lysimachia quadrifolia L.,perennial,,,
"Lysimachia terrestris (L.) Britton, Sterns & Poggenb. Britton, Sterns & Poggenb. (L.)",perennial,,,
Lysimachia thyrsiflora L.,perennial,,,
Lysimachia davurica Ledeb.,perennial,,,
Lysimachia vulgaris L.,perennial,,,
Lysimachia nummularia L.,perennial,,,
Lysimachia punctata L.,perennial,,,
Lysimachia microcarpa Hand.-Mazz. ex C.Y.Wu,perennial,,,
Lysimachia pittosporoides C.Y.Wu,perennial,,,
Lysimachia vittiformis F.H.Chen & C.M.Hu,perennial,,,
Lysimachia confertifolia C.Y.Wu,no_life_form_on_database,,,
Lysimachia petelotii Merr.,perennial,,,
Lysimachia millietii (H.Lév.) Hand.-Mazz. Hand.-Mazz. (H.Lév.),perennial,,,
Lysimachia foenum-graecum Hance,perennial,,,
Lysimachia trichopoda Franch.,perennial,,,
Lysimachia capillipes Hemsl.,perennial,,,
Lysimachia insignis Hemsl.,perennial,,,
Lysimachia chapaensis Merr.,perennial,,,
Lysimachia nutantiflora F.H.Chen & C.M.Hu,perennial,,,
Lysimachia gesnerioides Y.M.Shui & M.D.Zhang,perennial,https://www.jstor.org/stable/23727231,manually_curated,
Lysimachia heterobotrys F.H.Chen & C.M.Hu,perennial,,,
Lysimachia engleri R.Knuth,perennial,,,
Lysimachia lancifolia Craib,perennial,,,
Lysimachia laxa Baudo,annual,,,
Lysimachia peduncularis Wall. ex Kurz,annual,,,
