"species","life_form"
"Mostacillastrum andinum (Phil.) Al-Shehbaz Al-Shehbaz (Phil.)","perennial"
"Mostacillastrum commune (Speg.) Al-Shehbaz Al-Shehbaz (Speg.)","annual"
"Mostacillastrum leptocarpum (Hook. & Arn.) Al-Shehbaz Al-Shehbaz (Hook. & Arn.)","perennial"
"Chilocardamum castellanosii (O.E.Schulz) Al-Shehbaz Al-Shehbaz (O.E.Schulz)","perennial"
"Sarcodraba dusenii (O.E.Schulz) Al-Shehbaz Al-Shehbaz (O.E.Schulz)","perennial"
"Mostacillastrum subscandens (Speg.) Al-Shehbaz Al-Shehbaz (Speg.)","perennial"
"Pringlea antiscorbutica R.Br. ex Hook.f.","no_life_form_on_database"
"Chilocardamum patagonicum (Speg.) O.E.Schulz O.E.Schulz (Speg.)","perennial"
"Ivania juncalensis Al-Shehbaz","no_life_form_on_database"
"Polypsecadium magellanicum (Juss. ex Pers.) Al-Shehbaz Al-Shehbaz (Juss. ex Pers.)","perennial"
"Phlebolobium maclovianum (d'Urv.) O.E.Schulz O.E.Schulz (d'Urv.)","perennial"
"Polypsecadium grandiflorum Romanczuk & Boelcke","annual"
"Polypsecadium tucumanense (O.E.Schulz) Al-Shehbaz Al-Shehbaz (O.E.Schulz)","perennial"
"Neuontobotrys frutescens (Gillies ex Hook. & Arn.) Al-Shehbaz Al-Shehbaz (Gillies ex Hook. & Arn.)","perennial"
"Ivania cremnophila (I.M.Johnst.) O.E.Schulz O.E.Schulz (I.M.Johnst.)","perennial"
"Mostacillastrum orbignyanum (E.Fourn.) Al-Shehbaz Al-Shehbaz (E.Fourn.)","perennial"
"Mostacillastrum stenophyllum (Gillies ex Hook. & Arn.) O.E.Schulz O.E.Schulz (Gillies ex Hook. & Arn.)","perennial"
"Sibara tehuelches (Speg.) Al-Shehbaz Al-Shehbaz (Speg.)","no_life_form_on_database"
"Streptanthus polygaloides A.Gray","annual"
"Thelypodium flexuosum B.L.Rob.","perennial"
"Thelypodium integrifolium (Nutt.) Endl. Endl. (Nutt.)","annual"
"Thelypodium sagittatum (Nutt.) Endl. Endl. (Nutt.)","annual"
"Thelypodium crispum Greene ex Payson","annual"
"Streptanthus tortuosus Kellogg","annual"
"Streptanthus diversifolius S.Watson","annual"
"Streptanthus fenestratus (Greene) J.T.Howell J.T.Howell (Greene)","annual"
"Polypsecadium rusbyi (Britton) Al-Shehbaz Al-Shehbaz (Britton)","no_life_form_on_database"
"Sibara mendocina (Boelcke & S.C.Arroyo) Al-Shehbaz Al-Shehbaz (Boelcke & S.C.Arroyo)","no_life_form_on_database"
