"species","life_form","source","notes_1","notes_2"
"Houstonia humifusa","annual","https://www.jstor.org/stable/25027862","manually_curated",""
"Stenaria umbratilis","perennial","","",""
"Houstonia correllii","annual","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia subviscosa","annual","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia croftiae","annual","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia rubra","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia spellenbergii","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia wrightii","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia parviflora","annual","https://www.jstor.org/stable/25027862","manually_curated",""
"Stenaria rupicola","perennial","","",""
"Stenaria mullerae","perennial","","",""
"Stenaria nigricans var. nigricans","perennial","","",""
"Stenaria nigricans","perennial","","",""
"Stenaria butterwickiae","perennial","","",""
"Houstonia palmeri","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia acerosa","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia caerulea","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia serpyllifolia","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia pusilla","annual","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia sharpii","no_life_form_on_database","","",""
"Houstonia micrantha","annual","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia rosea","annual","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia procumbens","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia longifolia","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia purpurea","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia canadensis","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Houstonia ouachitana","perennial","https://www.jstor.org/stable/25027862","manually_curated",""
"Oldenlandia ovata","annual","","",""
"Oldenlandia microtheca","perennial","","",""
"Oldenlandia drymarioides","annual","","",""
"Houstonia teretifolia","no_life_form_on_database","","",""
"Arcytophyllum macbridei","perennial","","",""
"Arcytophyllum vernicosum","perennial","","",""
"Arcytophyllum nitidum","perennial","","",""
"Arcytophyllum setosum","perennial","","",""
"Arcytophyllum lavarum","perennial","","",""
"Arcytophyllum aristatum","perennial","","",""
"Arcytophyllum muticum","perennial","","",""
"Arcytophyllum ciliolatum","perennial","","",""
"Arcytophyllum rivetii","perennial","","",""
"Arcytophyllum ericoides","perennial","","",""
"Arcytophyllum capitatum","no_life_form_on_database","","",""
"Arcytophyllum filiforme","perennial","","",""
"Arcytophyllum thymifolium","perennial","","",""
"Stenotis brevipes","perennial","","",""
"Stenotis mucronata","perennial","","",""
"Stenotis asperuloides","annual","","",""
"Stenotis australis","perennial","","",""
"Oldenlandia pringlei","perennial","","",""
"Astiella delicatula","annual","http://treatment.plazi.org/id/039E3C565A22FF939DCF0666E6C90C43","manually_curated",""
"Astiella tsaratanensis","no_life_form_on_database","","",""
"Phialiphora bevazahensis","perennial","","",""
"Phialiphora capitulata","perennial","","",""
"Astiella latifolia","annual","https://doi.org/10.5852/ejt.2017.312","manually_curated",""
"Astiella perrieri","annual","https://doi.org/10.5852/ejt.2017.312","manually_curated",""
"Astiella desseinii","no_life_form_on_database","","",""
"Amphistemon humbertii","perennial","","",""
"Amphistemon rakotonasolianus","perennial","","",""
"Hedythyrsus spermacocinus","perennial","","",""
