"species","life_form","X","X.1"
"Erucastrum strigosum","annual","",""
"Erucastrum austroafricanum","annual","",""
"Erucastrum meruense","perennial","",""
"Erucastrum griquense","annual","",""
"Brassica balearica","perennial","",""
"Erucastrum abyssinicum","no_life_form_on_database","",""
"Erucastrum nasturtiifolium","annual","",""
"Diplotaxis erucoides","annual","",""
"Erucastrum gallicum","annual","",""
"Erucastrum supinum","annual","",""
"Diplotaxis cossoniana","no_life_form_on_database","",""
"Brassica aucheri","annual","",""
"Brassica deflexa","annual","",""
"Morisia monanthos","perennial","",""
"Raffenaldia primuloides","perennial","",""
"Rapistrum rugosum","annual","",""
"Otocarpus virgatus","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Cordylocarpus muricatus","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Trachystoma ballii","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Ceratocnemum rapistroides","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Trachystoma aphanoneurum","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Diplotaxis siettiana","annual","",""
"Diplotaxis brevisiliqua","no_life_form_on_database","",""
"Diplotaxis ilorcitana","annual","",""
"Diplotaxis ibicensis","no_life_form_on_database","",""
"Hirschfeldia incana","annual","",""
"Brassica maurorum","no_life_form_on_database","",""
"Erucastrum canariense","no_life_form_on_database","",""
"Brassica tournefortii","no_life_form_on_database","",""
"Crambella teretifolia","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Brassica fruticulosa","annual","",""
"Erucastrum littoreum","no_life_form_on_database","",""
"Diplotaxis brachycarpa","no_life_form_on_database","",""
"Raphanus sativus","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Raphanus raphanistrum","annual","",""
"Brassica barrelieri","annual","",""
"Brassica oxyrrhina","annual","",""
"Brassica procumbens","perennial","",""
"Sinapis pubescens subsp. pubescens","no_life_form_on_database","",""
"Brassica nigra","annual","",""
"Brassica carinata","annual","",""
"Sinapis arvensis","annual","",""
"Trachystoma labasii","no_life_form_on_database","",""
"Guiraoa arvensis","annual","",""
"Brassica oleracea var. capitata","no_life_form_on_database","",""
"Brassica montana","perennial","",""
"Brassica incana","perennial","",""
"Brassica cretica","perennial","",""
"Brassica insularis","perennial","",""
"Brassica macrocarpa","perennial","",""
"Brassica villosa","perennial","",""
"Brassica rupestris","perennial","",""
"Brassica juncea var. integrifolia","no_life_form_on_database","",""
"Brassica rapa subsp. rapa","no_life_form_on_database","",""
"Brassica napus","annual","",""
"Crambe grossheimii","perennial","",""
"Crambe orientalis subsp. orientalis","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Crambe cordifolia","perennial","",""
"Crambe juncea","perennial","",""
"Crambe orientalis","perennial","",""
"Crambe koktebelica","perennial","",""
"Crambe tataria","perennial","",""
"Crambe maritima","perennial","",""
"Crambe aspera","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Crambe kotschyana","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Crambe edentula","perennial","",""
"Crambe gordjaginii","perennial","",""
"Crambe schugnana","perennial","",""
"Crambe kilimandscharica","annual","",""
"Crambe filiformis","perennial","",""
"Crambe hispanica subsp. hispanica","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Crambe kralikii","perennial","",""
"Crambe tamadabensis","perennial","",""
