"species","life_form","source","notes_1","notes_2","X"
"Croton pottsii var. pottsii","perennial","","","",""
"Croton pottsii var. thermophilus","perennial","","","",""
"Croton lindheimerianus","annual","","","",""
"Croton monanthogynus","annual","","","",""
"Croton lindheimeri","annual","","","",""
"Croton heptalon","annual","","","",""
"Croton leucophyllus var. leucophyllus","annual","","","",""
"Croton capitatus","annual","","","",""
"Croton elliottii","annual","","","",""
"Croton alamosanus","perennial","","","",""
"Croton axillaris","perennial","","","",""
"Croton decalobus","perennial","","","",""
"Croton pendens","perennial","","","",""
"Croton bixoides","perennial","Murton, E. M. (2008). The Abundance and Distribution of reptiles on a small tropical island: Implications for the conservation of reptile communities (Doctoral dissertation, Imperial College London).","manually_curated","""There is a sparse shrub layer of Croton bixoides""",""
"Croton micans","perennial","","","",""
"Croton helicoideus","no_life_form_on_database","","","",""
"Croton watsonii","perennial","","","",""
"Croton yucatanensis","perennial","","","",""
"Croton culiacanensis","perennial","","","",""
"Croton masonii","perennial","","","",""
"Croton scaber","perennial","","","",""
"Croton tabascensis","perennial","","","",""
"Croton rosmarinoides","perennial","","","",""
"Croton astroites","perennial","","","",""
"Croton argyrophyllus","perennial","","","",""
"Croton jacobinensis","perennial","","","",""
"Croton milleri","no_life_form_on_database","","","",""
"Croton sacaquinha","perennial","","","",""
"Croton floribundus","perennial","","","",""
"Croton tricolor","perennial","","","",""
"Croton acapulcensis","perennial","","","",""
"Croton conspurcatus","perennial","","","",""
"Croton triqueter","perennial","","","",""
"Croton fuscescens","no_life_form_on_database","","","",""
"Croton argenteus","annual","","","",""
"Croton subpannosus","perennial","","","",""
"Croton atrostellatus","no_life_form_on_database","","","",""
"Croton blanchetianus","perennial","","","",""
"Croton hoffmannii","perennial","","","",""
"Croton rottlerifolius","perennial","","","",""
"Croton fragrantulus","perennial","","","",""
"Croton pseudofragrans","perennial","","","",""
"Croton spruceanus","perennial","","","",""
"Croton orinocensis","perennial","","","",""
"Croton billbergianus","perennial","","","",""
"Croton fragrans","perennial","","","",""
"Croton heterocalyx","perennial","","","",""
"Croton sphaerogynus","perennial","","","",""
"Croton cajucara","perennial","","","",""
"Croton organensis","perennial","","","",""
"Croton campanulatus","perennial","","","",""
"Croton salutaris","perennial","","","",""
"Croton hemiargyreus","perennial","","","",""
"Croton ortholobus","perennial","","","",""
"Croton ramillatus","perennial","","","",""
"Croton gynopetalus","no_life_form_on_database","","","",""
"Croton jutiapensis","perennial","","","",""
"Croton guildingii subsp. tiarensis","perennial","Berry, P. E., Ferreira de Sales, M., Riina, R., & Barreto, L. (2007). New Synonymy in Croton sect. Geiseleria (Euphorbiaceae) from the Caribbean and a new subspecies of Croton guildinghi from Venezuela.","manually_curated","""shrub""",""
"Croton chamelensis","perennial","","","",""
"Croton itzaeus","perennial","","","",""
"Croton cupulifer","perennial","","","",""
"Croton martinianus","perennial","","","",""
"Croton varelae","annual","","","",""
"Croton glandulosus","annual","","","",""
"Croton hirtus","annual","","","",""
"Croton pachysepalus","perennial","","","",""
"Croton liebmannii","no_life_form_on_database","","","",""
"Croton macrodontus","perennial","","","",""
"Croton brevipes","perennial","","","",""
"Croton betulinus","perennial","","","",""
"Croton malvaviscifolius","perennial","","","",""
"Croton repens","perennial","","","",""
"Croton antisyphiliticus","perennial","","","",""
"Croton polyandrus","perennial","","","",""
"Croton cordiifolius","perennial","","","",""
"Croton chocoanus","perennial","","","",""
"Croton smithianus","perennial","","","",""
"Croton palanostigma","perennial","","","",""
"Croton skutchii","no_life_form_on_database","","","",""
"Croton matourensis","perennial","","","",""
"Croton ameliae","perennial","","","",""
"Croton glandulosepalus","perennial","","","",""
"Croton glabellus","perennial","","","",""
"Croton sutup","perennial","","","",""
"Croton guianensis","perennial","","","",""
"Croton hircinus","perennial","","","",""
"Croton sellowii","perennial","","","",""
"Croton cerinus","perennial","","","",""
"Croton nummulariifolius","no_life_form_on_database","","","",""
"Croton paludosus","perennial","","","",""
"Croton velutinus","perennial","","","",""
"Croton ovalifolius","perennial","","","",""
"Croton eremophilus","perennial","","","",""
"Croton montevidensis","perennial","","","",""
"Croton serratifolius","perennial","","","",""
"Croton gnaphalii","perennial","","","",""
"Croton laureltyanus","perennial","","","",""
"Croton argentinus","perennial","","","",""
"Croton catamarcensis","perennial","","","",""
"Croton pycnocephalus","perennial","","","",""
"Croton ceanothifolius","perennial","","","",""
"Croton pallidulus","perennial","Flora do Brasil","manually_curated","""shrub""",""
"Croton dichrous","perennial","","","",""
"Croton erythroxyloides","perennial","","","",""
"Croton andinus","perennial","","","",""
"Croton cuyabensis","perennial","","","",""
"Croton linearifolius","perennial","","","",""
"Croton longicolumellus","perennial","","","",""
"Croton burchellii","perennial","","","",""
"Croton breedlovei","perennial","","","",""
"Croton pedicellatus","perennial","","","",""
"Croton tenuilobus","perennial","","","",""
"Croton luetzelburgii","perennial","","","",""
"Croton guatemalensis","perennial","","","",""
"Croton reflexifolius","perennial","","","",""
"Croton fantzianus","perennial","","","",""
"Croton niveus","perennial","","","",""
"Croton pseudoniveus","perennial","","","",""
"Croton nitens","perennial","","","",""
"Croton schiedeanus","perennial","","","",""
"Croton arboreus","perennial","","","",""
"Croton icche","perennial","","","",""
"Croton sousae","perennial","Gordillo, M. M., & Durán, R. C. (2002). Especie nueva de la sección Eluteria Griseb. del género Croton (Euphorbiaceae) de Veracruz, México. Anales del Instituto de Biología. Serie Botánica, 73(2), 141-145.","manually_curated","""tree""",""
"Croton brittonianus","perennial","","","",""
"Croton myricifolius","perennial","","","",""
"Croton bispinosus","perennial","","","",""
"Croton grisebachianus","perennial","","","",""
"Croton laurinus","perennial","","","",""
"Croton jamaicensis","perennial","","","",""
"Croton eichleri","perennial","","","",""
"Croton priscus","perennial","","","",""
"Croton thomasii","perennial","Flora do Brasil","manually_curated","""tree""",""
"Croton cuneatus","perennial","","","",""
"Croton yavitensis","perennial","","","",""
"Croton domatifer","perennial","","","",""
"Croton roraimensis","perennial","","","",""
"Croton malambo","perennial","","","",""
"Croton parksii","annual","","","",""
"Croton punctatus","perennial","","","",""
"Croton wigginsii","perennial","","","",""
"Croton californicus","perennial","","","",""
"Croton texensis","annual","","","",""
"Croton dioicus","perennial","","","",""
"Croton argyranthemus","annual","","","",""
"Croton coryi","annual","","","",""
"Croton coryi","annual","Systematic Botany (2010), 35(1): pp. 151–167","manually_curated","",""
"Croton willdenowii","annual","Systematic Botany (2010), 35(1): pp. 151–167","manually_curated","",""
"Croton cupreatus","perennial","","","",""
"Croton setiger","annual","","","",""
"Croton acutifolius","perennial","","","",""
"Croton wallichii","perennial","","","",""
"Croton robustus","perennial","","","",""
"Croton stellatopilosus","perennial","","","",""
"Croton columnaris","perennial","","","",""
"Croton roxburghii","perennial","https://doi.org/10.1016/j.jep.2003.09.002","manually_curated","""small to medium size tree""",""
"Croton hutchinsonianus","perennial","","","",""
"Croton laevigatus","perennial","","","",""
"Croton kongkandanus","perennial","","","",""
"Croton poilanei","perennial","","","",""
"Croton decalvatus","perennial","","","",""
"Croton cascarilloides","perennial","","","",""
"Croton kerrii","perennial","","","",""
"Croton microtiglium","perennial","","","",""
"Croton verreauxii","perennial","","","",""
"Croton insularis","perennial","","","",""
"Croton klotzschianus","perennial","","","",""
"Croton argyratus","perennial","","","",""
"Croton crassifolius","perennial","","","",""
"Croton minimus","no_life_form_on_database","","","",""
"Croton caudatus","perennial","","","",""
"Croton lachnocarpus","perennial","","","",""
"Croton euryphyllus","perennial","","","",""
"Croton coriifolius","perennial","","","",""
"Croton ripensis","perennial","","","",""
"Croton kongensis","perennial","","","",""
"Croton tiglium","perennial","","","",""
