"species","life_form","source","notes_1","notes_2"
"Solanum chenopodinum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum ferocissimum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum stelligerum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum latens","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum chenopodium","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum gympiense","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum densevestitum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum nemophilum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum hapalum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum innoxium","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum johnsonianum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum discolor","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum Ã—shirleyanum","perennial","https://solanaceaesource.myspecies.info","manually_curated","check name"
"Solanum corifolium","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum cookii","perennial","https://solanaceaesource.myspecies.info","manually_curated","""Shrub or small tree """
"Solanum dissectum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum stupefactum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum furfuraceum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum rixosum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum incompletum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum sandwicense","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum mitchellianum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum semiarmatum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum pancheri","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum vaccinioides","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum brownii","no_life_form_on_database","","",""
"Solanum curvicuspe","no_life_form_on_database","","",""
"Solanum viridifolium","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum macoorai","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum dimorphispinum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum amblymerum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum limitare","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum inaequilaterum","no_life_form_on_database","","",""
"Solanum acanthodapis","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum serpens","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum neoanglicum","no_life_form_on_database","","",""
"Solanum nobile","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum argopetalum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum papaverifolium","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum sturtianum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum stenopterum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum lythrocarpum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum petrophilum","no_life_form_on_database","","",""
"Solanum ellipticum","no_life_form_on_database","","",""
"Solanum quadriloculatum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum dianthophorum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum centrale","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum esuriale","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum cinereum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum prinophyllum","no_life_form_on_database","","",""
"Solanum pungetium","no_life_form_on_database","","",""
"Solanum campanulatum","no_life_form_on_database","","",""
"Solanum ditrichum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum vicinum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum elachophyllum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum jucundum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum tetrathecum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum nummularium","no_life_form_on_database","","",""
"Solanum orbiculatum","no_life_form_on_database","","",""
"Solanum oligacanthum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum hoplopetalum","no_life_form_on_database","","",""
"Solanum hystrix","no_life_form_on_database","","",""
"Solanum asymmetriphyllum","no_life_form_on_database","","",""
"Solanum sejunctum","no_life_form_on_database","","",""
"Solanum chippendalei","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum diversiflorum","no_life_form_on_database","","",""
"Solanum phlomoides","no_life_form_on_database","","",""
"Solanum beaugleholei","no_life_form_on_database","","",""
"Solanum clarkiae","no_life_form_on_database","","",""
"Solanum melanospermum","no_life_form_on_database","","",""
"Solanum heteropodium","no_life_form_on_database","","",""
"Solanum oedipus","no_life_form_on_database","","",""
"Solanum cataphractum","no_life_form_on_database","","",""
"Solanum petraeum","no_life_form_on_database","","",""
"Solanum tudununggae","no_life_form_on_database","","",""
"Solanum vansittartense","no_life_form_on_database","","",""
"Solanum leopoldense","no_life_form_on_database","","",""
"Solanum carduiforme","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum cunninghamii","no_life_form_on_database","","",""
"Solanum dioicum","no_life_form_on_database","","",""
"Solanum cleistogamum","no_life_form_on_database","","",""
"Solanum horridum","no_life_form_on_database","","",""
"Solanum echinatum","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum lucani","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum fusiforme","no_life_form_on_database","","",""
"Solanum lasiophyllum","no_life_form_on_database","","",""
"Solanum coactiliferum","no_life_form_on_database","","",""
"Solanum oldfieldii","no_life_form_on_database","","",""
"Solanum myoxotrichum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum pyracanthos","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum batoides","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum mahoriense","no_life_form_on_database","","",""
"Solanum bumeliifolium","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum heinianum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum toliaraea","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum campylacanthum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum panduriforme","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum incanum","perennial","","",""
"Solanum arundo","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum cerasiferum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum linnaeanum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum lichtensteinii","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum melongena","perennial","https://solanaceaesource.myspecies.info","manually_curated","eggplant"
"Solanum ovigerum","no_life_form_on_database","","",""
"Solanum cumingii","no_life_form_on_database","","",""
"Solanum sessilistellatum","no_life_form_on_database","","",""
"Solanum kurzii","no_life_form_on_database","","",""
"Solanum violaceum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum rigescentoides","no_life_form_on_database","","",""
"Solanum supinum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum nigriviolaceum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum aethiopicum","perennial","","",""
"Solanum anguivi","perennial","","",""
"Solanum cyaneopurpureum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum glabratum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum lamprocarpum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum capense","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum tomentosum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum humile","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum lidii","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum vespertilio","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrubs"
"Solanum dasyphyllum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum macrocarpon","no_life_form_on_database","","",""
"Solanum giganteum","perennial","https://solanaceaesource.myspecies.info","manually_curated","""shrub or tree"""
"Solanum kwebense","no_life_form_on_database","","",""
"Solanum goetzei","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum schimperianum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum marginatum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum aculeastrum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum thruppii","no_life_form_on_database","","",""
"Solanum elaeagnifolium","perennial","https://www.wildflower.org/plants/result.php?id_plant=soel","manually_curated",""
"Solanum mortonii","no_life_form_on_database","","",""
"Solanum hindsianum","no_life_form_on_database","","",""
"Solanum tridynamum","no_life_form_on_database","","",""
"Solanum hieronymi","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum lanceolatum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum rudepannum","no_life_form_on_database","","",""
"Solanum torvum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum chrysotrichum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum pluviale","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum acutilobum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum caricifolium","perennial","https://solanaceaesource.myspecies.info","manually_curated","check name"
"Solanum bolivianum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum ursinum","no_life_form_on_database","","",""
"Solanum albidum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum whalenii","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum comarapanum","perennial","https://solanaceaesource.myspecies.info","manually_curated","""shrubs"""
"Solanum asperolanatum","no_life_form_on_database","","",""
"Solanum stellativelutinum","no_life_form_on_database","","",""
"Solanum asteropilodes","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum crinitipes","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrubs"
"Solanum hayesii","perennial","https://solanaceaesource.myspecies.info","manually_curated","trees"
"Solanum bonariense","no_life_form_on_database","","",""
"Solanum poinsettiifolium","no_life_form_on_database","","",""
"Solanum subinerme","no_life_form_on_database","","",""
"Solanum paniculatum","no_life_form_on_database","","",""
"Solanum glutinosum","no_life_form_on_database","","",""
"Solanum donianum","no_life_form_on_database","","",""
"Solanum crotonoides","perennial","https://solanaceaesource.myspecies.info","manually_curated","""shrub"""
"Solanum multispinum","no_life_form_on_database","","",""
"Solanum arachnidanthum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum tampicense","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum monachophyllum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum pedemontanum","no_life_form_on_database","","",""
"Solanum adhaerens","no_life_form_on_database","","",""
"Solanum aturense","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum jamaicense","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum lanceifolium","no_life_form_on_database","","",""
"Solanum conditum","no_life_form_on_database","","",""
"Solanum juvenale","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum comptum","perennial","https://solanaceaesource.myspecies.info","manually_curated","""Erect to decumbent perennial herb"""
"Solanum moxosense","no_life_form_on_database","","",""
"Solanum carolinense","perennial","","",""
"Solanum asterophorum","no_life_form_on_database","","",""
"Solanum bahamense","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum drymophilum","no_life_form_on_database","","",""
"Solanum citrullifolium","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum davisense","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum heterodoxum","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum tribulosum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum fructo-tecto","no_life_form_on_database","","",""
"Solanum rostratum","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum angustifolium","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum grayi","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum lumholtzianum","annual","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum johnstonii","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum tenuipes","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum urticans","no_life_form_on_database","","",""
"Solanum wrightii","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum crinitum","no_life_form_on_database","","",""
"Solanum coriaceum","no_life_form_on_database","","",""
"Solanum sendtnerianum","no_life_form_on_database","","",""
"Solanum lycocarpum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum mitlense","no_life_form_on_database","","",""
"Solanum hasslerianum","no_life_form_on_database","","",""
"Solanum sisymbriifolium","no_life_form_on_database","","",""
"Solanum pseudolulo","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum vestissimum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum hyporhodium","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum pectinatum","no_life_form_on_database","","",""
"Solanum hirtum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum stramoniifolium","no_life_form_on_database","","",""
"Solanum lasiocarpum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum repandum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum candidum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum felinum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum quitoense","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum sessiliflorum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum atropurpureum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum tenuispinum","no_life_form_on_database","","",""
"Solanum acerifolium","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum capsicoides","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum aculeatissimum","no_life_form_on_database","","",""
"Solanum viarum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrubs"
"Solanum myriacanthum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum incarceratum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrubs"
"Solanum platense","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum mammosum","no_life_form_on_database","","",""
"Solanum palinacanthum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum decompositiflorum","perennial","https://solanaceaesource.myspecies.info","manually_curated","""shrub"""
"Solanum rhytidoandrum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrubs"
"Solanum accrescens","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum absconditum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum paludosum","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum reflexiflorum","no_life_form_on_database","","",""
"Solanum jabrense","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrub"
"Solanum megalonyx","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum hexandrum","no_life_form_on_database","","",""
"Solanum stagnale","perennial","https://solanaceaesource.myspecies.info","manually_curated",""
"Solanum robustum","perennial","https://solanaceaesource.myspecies.info","manually_curated","shrubs to treelets"
