"species","life_form","source","notes_1","notes_2"
"Parrya fruticulosa","perennial","","",""
"Parrya nuratensis","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya pazijae","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya pulvinata","perennial","","",""
"Parrya minjanensis","perennial","","",""
"Parrya runcinata","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya pinnatifida","perennial","","",""
"Parrya albida","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya longicarpa","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya subsiliquosa","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya australis","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya nauruaq","perennial","","",""
"Parrya arctica","perennial","","",""
"Parrya nudicaulis","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya rydbergii","perennial","","",""
"Parrya ajanensis","no_life_form_on_database","","",""
"Parrya glabra","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya turkestanica","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya kuramensis","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya saxifraga","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya popovii","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya pavlovii","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya asperrima","perennial","","",""
"Parrya maidantalica","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya darvazica","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya podlechii","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya schugnana","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya stenocarpa","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya simulatrix","no_life_form_on_database","","",""
"Parrya alba","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya tianschanica","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya stenophylla","no_life_form_on_database","","",""
"Parrya lancifolia","perennial","","",""
"Parrya saurica","perennial","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya papillosa","annual","https://doi.org/10.1007/s12225-013-9450-4","manually_curated",""
"Parrya angrenica","no_life_form_on_database","","",""
"Parrya villosula","no_life_form_on_database","","",""
"Litwinowia tenuissima","annual","","",""
"Pseudoclausia gracillima","no_life_form_on_database","","",""
"Pseudoclausia turkestanica","no_life_form_on_database","","",""
"Pseudoclausia mollissima","annual","https://doi.org/10.1007/s12225-013-9450-4","manually_curated","""biennial"""
"Pseudoclausia sarawschanica","annual","https://doi.org/10.1007/s12225-013-9450-4","manually_curated","""biennial"""
"Pseudoclausia olgae","annual","https://doi.org/10.1007/s12225-013-9450-4","manually_curated","""biennial"""
"Pseudoclausia hispida","annual","https://doi.org/10.1007/s12225-013-9450-4","manually_curated","""biennial"""
"Chorispora persica","annual","","",""
"Chorispora purpurascens","annual","","",""
"Diptychocarpus strictus","annual","","",""
"Chorispora sibirica","annual","","",""
"Chorispora songarica","perennial","","",""
"Chorispora tenella","annual","","",""
"Chorispora tashkorganica","annual","","",""
"Chorispora sabulosa","perennial","","",""
"Chorispora macropoda","perennial","","",""
"Chorispora bungeana","perennial","","",""
