species,life_form,
Chamaesium thalictrifolium,perennial,
Chamaesium paradoxum,perennial,rescored_biennial
Chamaesium wolffianum,perennial,
Diplolophium somaliense,perennial,
Pleurospermopsis sikkimensis,perennial,rescored_biennial
Ligusticum canadense,no_life_form_on_database,
Conioselinum chinense,perennial,
Ligusticum porteri,perennial,
Conioselinum scopulorum,perennial,
Mutellina purpurea,perennial,
Trochiscanthes nodiflorus,perennial,
Yabea microcarpa,annual,
Turgenia lisaeoides,annual,
Turgenia latifolia,annual,
Lisaea strigosa,annual,
Lisaea papyracea,annual,
Lisaea heterocarpa,annual,
Caucalis platycarpos,annual,
Torilis elongata,annual,
Chaetosciadium trichospermum,annual,
Torilis scabra,perennial,rescored_biennial
Torilis nodosa,annual,
Torilis tenella,annual,
Torilis japonica,annual,
Torilis arvensis,annual,
Torilis leptophylla,annual,
Szovitsia callicarpa,annual,
Astrodaucus orientalis,annual,
Chaerophyllum villarsii,no_life_form_on_database,
Chaerophyllum hirsutum,perennial,
Chaerophyllum elegans,no_life_form_on_database,
Chaerophyllum magellense,no_life_form_on_database,
Chaerophyllum crinitum,perennial,rescored_biennial
Chaerophyllum caucasicum,no_life_form_on_database,
Chaerophyllum roseum,perennial,
Chaerophyllum prescottii,perennial,
Chaerophyllum libanoticum,perennial,
Chaerophyllum byzantinum,perennial,
Chaerophyllum khorossanicum,perennial,
Chaerophyllum macrospermum,perennial,rescored_biennial
Chaerophyllum hakkiaricum,perennial,
Chaerophyllum astrantiae,perennial,
Chaerophyllum macropodum,perennial,rescored_biennial
Chaerophyllum nivale,perennial,
Chaerophyllum bulbosum,perennial,rescored_biennial
Chaerophyllum azoricum,perennial,
Chaerophyllum aromaticum,perennial,
Chaerophyllum atlanticum,no_life_form_on_database,
Chaerophyllum humile,perennial,
Chaerophyllum aureum,perennial,
Chaerophyllum nodosum,annual,
Chaerophyllum tainturieri,annual,
Chaerophyllum procumbens,annual,
Chaerophyllum colensoi,no_life_form_on_database,
Chaerophyllum novae-zelandiae,no_life_form_on_database,
Chaerophyllum basicola,no_life_form_on_database,
Chaerophyllum ramosum,no_life_form_on_database,
Chaerophyllum pulvinificum,no_life_form_on_database,
Chaerophyllum daucoides,perennial,
Chaerophyllum gunnii,no_life_form_on_database,
Chaerophyllum sessiliflorum,no_life_form_on_database,
Chaerophyllum brevipes,no_life_form_on_database,
Chaerophyllum australianum,no_life_form_on_database,
Chaerophyllum orizabae,no_life_form_on_database,
Chaerophyllum andicola,perennial,
Chaerophyllum guatemalense,no_life_form_on_database,
Chaerophyllum argenteum,perennial,
Chaerophyllum eriopodum,no_life_form_on_database,
Chaerophyllum lineare,perennial,
Chaerophyllum pumilum,no_life_form_on_database,
Chaerophyllum papuanum,perennial,
Chaerophyllum borneense,perennial,
Chaerophyllum taiwanianum,perennial,
Chaerophyllum nanhuense,perennial,
Chaerophyllum involucratum,perennial,
Chaerophyllum azorellaceum,perennial,
Chaerophyllum temulum,perennial,rescored_biennial
Sphallerocarpus gracilis,perennial,rescored_biennial
Neoconopodium capnoides,perennial,
Kozlovia paleacea,perennial,
Krasnovia longiloba,perennial,
Anthriscus sylvestris,perennial,rescored_biennial
Anthriscus lamprocarpa,perennial,rescored_biennial
Anthriscus nitidus,perennial,rescored_biennial
