"species","life_form","source","notes_1","notes_2"
"Lupinus bangii","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus weberbaueri","perennial","","",NA
"Lupinus tarapacensis","perennial","","",NA
"Lupinus piurensis","annual","","",NA
"Lupinus tominensis","perennial","","",NA
"Lupinus ellsworthianus","perennial","","",NA
"Lupinus ballianus","perennial","","",NA
"Lupinus praestabilis","perennial","","",NA
"Lupinus purosericeus","perennial","","",NA
"Lupinus prostratus","perennial","","",NA
"Lupinus nubigenus","perennial","","",NA
"Lupinus huaronensis","perennial","","",NA
"Lupinus misticola","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus chrysanthus","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus huigrensis","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus sarmentosus","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus pulvinaris","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus ramosissimus","perennial","","",NA
"Lupinus solanagrorum","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus mutabilis","annual","","",NA
"Lupinus mollendoensis","annual","","",NA
"Lupinus subacaulis","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus microphyllus","perennial","","",NA
"Lupinus mantaroensis","annual","","",NA
"Lupinus lindleyanus","annual","","",NA
"Lupinus chachas","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus arvensis","perennial","","",NA
"Lupinus tomentosus","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus semperflorens","perennial","","",NA
"Lupinus pubescens","perennial","","",NA
"Lupinus bogotensis","perennial","","",NA
"Lupinus montanus","perennial","","",NA
"Lupinus huachucanus","perennial","","",NA
"Lupinus elegans","perennial","","",NA
"Lupinus aschenbornii","perennial","","",NA
"Lupinus mexicanus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus nootkatensis","perennial","","",NA
"Lupinus arcticus","perennial","","",NA
"Lupinus perennis","perennial","","",NA
"Lupinus leucophyllus","perennial","","",NA
"Lupinus sulphureus","perennial","","",NA
"Lupinus andersonii","perennial","","",NA
"Lupinus nevadensis","perennial","","",NA
"Lupinus polyphyllus","perennial","","",NA
"Lupinus argenteus","perennial","","",NA
"Lupinus neomexicanus","perennial","","",NA
"Lupinus sericeus","perennial","","",NA
"Lupinus littoralis","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus rivularis","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus duranii","perennial","","",NA
"Lupinus arboreus","perennial","","",NA
"Lupinus chamissonis","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus albicaulis","annual","","",NA
"Lupinus lepidus","perennial","","",NA
"Lupinus tegeticulatus","perennial","","",NA
"Lupinus cervinus","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus grayi","perennial","","",NA
"Lupinus breweri","perennial","","",NA
"Lupinus formosus","perennial","","",NA
"Lupinus albifrons","perennial","","",NA
"Lupinus latifolius","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus excubitus","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus bicolor","annual","","",NA
"Lupinus nanus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus pachylobus","annual","","",NA
"Lupinus guadalupensis","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus stiversii","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus succulentus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus arizonicus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus sparsiflorus","annual","","",NA
"Lupinus benthamii","annual","","",NA
"Lupinus truncatus","annual","","",NA
"Lupinus concinnus","annual","","",NA
"Lupinus citrinus","annual","","",NA
"Lupinus hirsutissimus","annual","","",NA
"Lupinus luteolus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus microcarpus","annual","","",NA
"Lupinus shockleyi","annual","","",NA
"Lupinus odoratus","annual","","",NA
"Lupinus uncialis","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus flavoculatus","annual","","",NA
"Lupinus brevicaulis","annual","","",NA
"Lupinus velutinus","perennial","","",NA
"Lupinus subsessilis","perennial","","",NA
"Lupinus crotalarioides","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus parvifolius","perennial","","",NA
"Lupinus guaraniticus","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus paraguariensis","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus albescens","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus aureonitens","annual","","",NA
"Lupinus multiflorus","perennial","","",NA
"Lupinus lanatus","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus magnistipulatus","annual","","",NA
"Lupinus reitzii","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus rubriflorus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus paranensis","perennial","Drummond et al. 2012","manually_curated",NA
"Lupinus uleanus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus gibertianus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus bandelierae","perennial","","",NA
"Lupinus bracteolaris","annual","","",NA
"Lupinus linearis","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus texensis","annual","","",NA
"Lupinus havardii","annual","","",NA
"Lupinus digitatus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus palaestinus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus anatolicus","annual","","",NA
"Lupinus pilosus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus cosentinii","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus princei","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus atlanticus","annual","","",NA
"Lupinus albus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus luteus","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus hispanicus","annual","","",NA
"Lupinus angustifolius","annual","Drummond et al. 2012","manually_curated",NA
"Lupinus micranthus","annual","","",NA
"Lupinus cumulicola","perennial","","",NA
"Lupinus villosus","annual","","",NA
"Lupinus diffusus","perennial","Drummond et al. 2012","manually_curated",NA
