"species","life_form"
"Heliophila crithmifolia","annual"
"Heliophila seselifolia","annual"
"Heliophila suborbicularis","annual"
"Heliophila latisiliqua","no_life_form_on_database"
"Heliophila suavissima","perennial"
"Heliophila minima","annual"
"Heliophila variabilis","annual"
"Heliophila carnosa","perennial"
"Heliophila rigidiuscula","perennial"
"Heliophila trifurca","annual"
"Heliophila eximia","annual"
"Heliophila collina","annual"
"Heliophila pubescens","annual"
"Heliophila pectinata","annual"
"Heliophila deserticola","annual"
"Heliophila amplexicaulis","annual"
"Heliophila cornellsbergia","annual"
"Heliophila gariepina","annual"
"Heliophila cedarbergensis","perennial"
"Heliophila esterhuyseniae","perennial"
"Heliophila scoparia var. aspera","no_life_form_on_database"
"Heliophila tulbaghensis","perennial"
"Heliophila dregeana","perennial"
"Heliophila maraisiana","perennial"
"Heliophila hurkana","perennial"
"Heliophila juncea","perennial"
"Heliophila glauca","perennial"
"Heliophila monosperma","perennial"
"Heliophila polygaloides","perennial"
"Heliophila ephemera","annual"
"Heliophila nubigena","perennial"
"Heliophila tricuspidata","perennial"
"Heliophila macrosperma","perennial"
"Heliophila macra","no_life_form_on_database"
"Heliophila elongata","perennial"
"Heliophila bulbostyla","annual"
"Heliophila linoides","annual"
"Heliophila digitata","annual"
"Heliophila arenosa","annual"
"Heliophila arenaria","annual"
"Heliophila descurva","no_life_form_on_database"
"Heliophila elata","perennial"
"Heliophila acuminata","annual"
"Heliophila macowaniana","annual"
"Heliophila coronopifolia","annual"
"Heliophila linearis var. linearis","no_life_form_on_database"
"Heliophila africana","annual"
"Heliophila cornuta","perennial"
"Heliophila namaquana","annual"
"Heliophila lactea","annual"
"Heliophila refracta","annual"
"Heliophila pusilla","annual"
"Heliophila subulata","annual"
"Heliophila pinnata","annual"
