"species","life_form","n_bio_14","mean_bio_14","sd_bio_14","se_bio_14","within_sp_var_bio_14"
"Agalinis purpurea","annual",143,4.052009,0.39852,0.033326,0.002094
"Aphyllon arizonicum","annual",NA,NA,NA,NA,NA
"Aphyllon chilensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Aphyllon corymbosum","annual",12,2.133246,0.879468,0.253881,0.024952
"Aphyllon dugesii","annual",NA,NA,NA,NA,NA
"Aphyllon fasciculatum","perennial",78,1.77543,0.993554,0.112498,0.003565
"Aphyllon ludovicianum","annual",NA,NA,NA,NA,NA
"Aphyllon multiflorum","annual",NA,NA,NA,NA,NA
"Aphyllon pinorum","annual",NA,NA,NA,NA,NA
"Aphyllon purpureum","annual",24,1.305769,0.850959,0.173701,0.010325
"Aphyllon riparium","annual",NA,NA,NA,NA,NA
"Aphyllon robbinsii","annual",NA,NA,NA,NA,NA
"Aphyllon tacnaense","annual",NA,NA,NA,NA,NA
"Aphyllon tarapacanum","annual",NA,NA,NA,NA,NA
"Aphyllon tuberosum","perennial",14,0.177493,0.36446,0.097406,0.015759
"Aphyllon uniflorum","annual",31,3.697005,0.920221,0.165277,0.009357
"Aphyllon vallicolum","annual",3,0,0,0,0.049904
"Bellardia trixago","annual",114,2.050233,1.129042,0.105744,0.002454
"Boschniakia himalaica","annual",NA,NA,NA,NA,NA
"Boschniakia rossica","perennial",174,2.62635,0.86318,0.065438,0.001721
"Castilleja exserta","annual",35,0.759365,0.741794,0.125386,0.006371
"Castilleja miniata","perennial",299,2.88865,0.8173,0.047266,0.000998
"Castilleja rubicundula","annual",NA,NA,NA,NA,NA
"Castilleja sulphurea","no_life_form_on_database",60,3.052601,0.410013,0.052932,0.00499
"Cistanche deserticola","perennial",6,1.457308,0.991984,0.404976,0.049904
"Cistanche salsa","perennial",6,0.939132,0.835142,0.340945,0.042775
"Cistanche tubulosa","perennial",6,1.896299,0.555801,0.226905,0.029942
"Cistanche violacea","perennial",NA,NA,NA,NA,NA
"Conopholis alpina","perennial",67,2.226632,0.722787,0.088302,0.004469
"Conopholis americana","perennial",NA,NA,NA,NA,NA
"Cordylanthus ramosus","annual",14,2.691687,0.416463,0.111304,0.021387
"Diphelypaea coccinea","perennial",NA,NA,NA,NA,NA
"Diphelypaea tournefortii","perennial",NA,NA,NA,NA,NA
"Epifagus virginiana","annual",177,4.154233,0.288659,0.021697,0.001692
"Euphrasia pectinata","annual",200,2.569507,1.197258,0.084659,0.00149
"Harveya capensis","annual",7,3.283568,0.576103,0.217746,0.042775
"Hyobanche atropurpurea","annual",4,1.919466,0.826138,0.413069,0.074856
"Hyobanche sanguinea","annual",21,2.228666,0.955778,0.208568,0.014258
"Kopsiopsis hookeri","perennial",NA,NA,NA,NA,NA
"Kopsiopsis strobilacea","perennial",15,0.993963,0.805527,0.207986,0.018714
"Lamourouxia rhinanthifolia","perennial",45,1.985205,0.780783,0.116392,0.006654
"Lathraea squamaria","perennial",187,3.595021,0.368159,0.026922,0.001601
"Lindenbergia indica","annual",2,1.647918,0.776836,0.549306,0.149712
"Lindenbergia muraria","annual",15,1.614367,0.889533,0.229676,0.019962
"Lindenbergia philippensis","perennial",42,2.265675,0.787155,0.121461,0.007129
"Mannagettaea hummelii","perennial",7,0.971134,0.641591,0.242499,0.042775
"Melampyrum arvense","annual",201,3.496915,0.417871,0.029474,0.00149
"Melampyrum carstiense","annual",1,4.418841,NA,NA,0.299425
"Monochasma sheareri","annual",8,3.848023,0.287423,0.101619,0.037428
"Nesogenes africanus","annual",NA,NA,NA,NA,NA
"Orobanche alba","perennial",NA,NA,NA,NA,NA
"Orobanche amethystea","perennial",80,2.365033,1.050061,0.1174,0.003743
"Orobanche anatolica","perennial",NA,NA,NA,NA,NA
"Orobanche artemisiae-campestris","perennial",30,3.060435,0.91903,0.167791,0.009981
"Orobanche austrohispanica","perennial",NA,NA,NA,NA,NA
"Orobanche ballotae","perennial",11,1.419567,0.590923,0.17817,0.02722
"Orobanche bartlingii","perennial",6,3.581984,0.329692,0.134596,0.049904
"Orobanche caryophyllacea","perennial",93,3.475791,0.754365,0.078224,0.00322
"Orobanche coerulescens","perennial",30,3.369848,0.997136,0.182051,0.009981
"Orobanche colorata","annual",NA,NA,NA,NA,NA
"Orobanche crenata","annual",71,1.924544,1.207246,0.143274,0.003889
"Orobanche crinita","no_life_form_on_database",NA,NA,NA,NA,NA
"Orobanche densiflora","perennial",3,0.693147,0.693147,0.400189,0.099808
"Orobanche elatior","perennial",55,3.42885,0.443107,0.059749,0.005444
"Orobanche flava","perennial",9,3.97782,0.237952,0.079317,0.033269
"Orobanche foetida","perennial",27,1.268504,1.04196,0.200525,0.01109
"Orobanche gracilis","perennial",126,2.851262,1.14181,0.101721,0.002376
"Orobanche gratiosa","perennial",NA,NA,NA,NA,NA
"Orobanche grenieri","perennial",NA,NA,NA,NA,NA
"Orobanche grossheimii","perennial",NA,NA,NA,NA,NA
"Orobanche haenseleri","perennial",8,2.029445,1.456162,0.514831,0.037428
"Orobanche hederae","perennial",86,2.999293,1.029025,0.110963,0.003442
"Orobanche krylowii","perennial",NA,NA,NA,NA,NA
"Orobanche lucorum","perennial",4,3.648295,0.442726,0.221363,0.074856
"Orobanche lutea","perennial",67,3.66978,0.49405,0.060358,0.004469
"Orobanche lycoctoni","perennial",NA,NA,NA,NA,NA
"Orobanche macrolepis","no_life_form_on_database",NA,NA,NA,NA,NA
"Orobanche minor","perennial",179,2.65053,1.289884,0.09641,0.001636
"Orobanche owerinii","perennial",1,3.7612,NA,NA,0.299425
"Orobanche ozanonis","no_life_form_on_database",NA,NA,NA,NA,NA
"Orobanche pancicii","perennial",NA,NA,NA,NA,NA
"Orobanche picridis","perennial",21,3.429144,0.978813,0.213595,0.014258
"Orobanche pubescens","perennial",23,1.240984,1.173198,0.244629,0.01109
"Orobanche pycnostachya","perennial",25,1.029105,0.713243,0.142649,0.011977
"Orobanche raddeana","no_life_form_on_database",1,3.970292,NA,NA,0.299425
"Orobanche rapum-genistae","perennial",72,3.081974,1.004994,0.11844,0.004159
"Orobanche reticulata","perennial",45,3.394546,0.747483,0.111428,0.006509
"Orobanche ritro","no_life_form_on_database",1,2.995732,NA,NA,0.299425
"Orobanche salviae","perennial",NA,NA,NA,NA,NA
"Orobanche santolinae","perennial",13,2.279699,0.961469,0.266664,0.023033
"Orobanche sintenisii","perennial",1,0.693147,NA,NA,0.299425
"Orobanche teucrii","perennial",38,3.761495,0.492677,0.079923,0.00788
"Orobanche transcaucasica","perennial",2,3.345421,0.296882,0.209927,0.149712
"Orthocarpus bracteosus","annual",14,2.184134,0.3902,0.104285,0.019962
"Orthocarpus tenuifolius","annual",NA,NA,NA,NA,NA
"Parentucellia viscosa","annual",22,1.487078,1.014004,0.216186,0.011516
"Pedicularis canadensis","perennial",272,3.727515,0.658102,0.039903,0.001101
"Pedicularis ingens","perennial",16,0.60247,0.500343,0.125086,0.016635
"Pedicularis tuberosa","perennial",24,3.925567,0.339143,0.069227,0.012476
"Phelipanche aegyptiaca","perennial",3,2.660464,0.2739,0.158136,0.099808
"Phelipanche arenaria","perennial",34,3.243305,0.386703,0.066319,0.008807
"Phelipanche bohemica","no_life_form_on_database",NA,NA,NA,NA,NA
"Phelipanche bungeana","no_life_form_on_database",NA,NA,NA,NA,NA
