"species","life_form","n_bio_5","mean_bio_5","sd_bio_5","se_bio_5","within_sp_var_bio_5"
"Atelanthera perpusilla","annual",3,5.665173,0.021772,0.01257,5.4e-05
"Braya alpina","perennial",3,5.659545,0.018289,0.010559,5.4e-05
"Braya fernaldii","perennial",NA,NA,NA,NA,NA
"Braya forrestii","perennial",NA,NA,NA,NA,NA
"Braya gamosepala","perennial",NA,NA,NA,NA,NA
"Braya glabella","perennial",103,5.652478,0.014328,0.001412,2e-06
"Braya humilis","annual",NA,NA,NA,NA,NA
"Braya linearis","perennial",37,5.657529,0.011413,0.001876,4e-06
"Braya longii","perennial",NA,NA,NA,NA,NA
"Braya parvia","perennial",NA,NA,NA,NA,NA
"Braya rosea","perennial",NA,NA,NA,NA,NA
"Braya scharnhorsti","perennial",NA,NA,NA,NA,NA
"Braya siliquosa","perennial",NA,NA,NA,NA,NA
"Catenulina hedysaroides","annual",NA,NA,NA,NA,NA
"Christolea crassifolia","perennial",41,5.656257,0.020554,0.00321,4e-06
"Cryptospora falcata","annual",3,5.720934,0.016206,0.009357,5.4e-05
"Cymatocarpus pilosissimus","annual",3,5.740165,0.003087,0.001782,5.4e-05
"Dichasianthus subtilissimus","annual",NA,NA,NA,NA,NA
"Dilophia salsa","annual",50,5.658631,0.022544,0.003188,3e-06
"Euclidium syriacum","annual",45,5.70866,0.029273,0.004364,4e-06
"Lachnoloma lehmannii","annual",1,5.716534,NA,NA,0.000162
"Leiospora beketovii","perennial",NA,NA,NA,NA,NA
"Leiospora eriocalyx","perennial",NA,NA,NA,NA,NA
"Leiospora exscapa","perennial",NA,NA,NA,NA,NA
"Leiospora pamirica","perennial",16,5.655507,0.021682,0.00542,1e-05
"Leiospora saposhnikovii","perennial",NA,NA,NA,NA,NA
"Lepidostemon glaricola","perennial",NA,NA,NA,NA,NA
"Leptaleum filifolium","annual",52,5.728211,0.017597,0.00244,3e-06
"Neotorularia contortuplicata","annual",9,5.717173,0.006544,0.002181,1.8e-05
"Neotorularia dentata","annual",NA,NA,NA,NA,NA
"Neotorularia korolkowii","annual",24,5.667797,0.020394,0.004163,7e-06
"Neotorularia tetracmoides","annual",NA,NA,NA,NA,NA
"Neotorularia torulosa","annual",38,5.734245,0.018197,0.002952,4e-06
"Octoceras lehmannianum","annual",3,5.739167,0.010392,0.006,5.4e-05
"Pycnoplinthopsis bhutanica","perennial",NA,NA,NA,NA,NA
"Pycnoplinthus uniflora","perennial",NA,NA,NA,NA,NA
"Rhammatophyllum afghanicum","perennial",NA,NA,NA,NA,NA
"Rhammatophyllum erysimoides","perennial",NA,NA,NA,NA,NA
"Rhammatophyllum gaudanense","perennial",NA,NA,NA,NA,NA
"Rhammatophyllum ghoranum","perennial",1,5.693227,NA,NA,0.000162
"Rhammatophyllum pachyrhizum","perennial",NA,NA,NA,NA,NA
"Shangrilaia nana","perennial",NA,NA,NA,NA,NA
"Sisymbriopsis mollipila","annual",6,5.658028,0.01198,0.004891,2.7e-05
"Sisymbriopsis yechengnica","perennial",NA,NA,NA,NA,NA
"Solms-laubachia baiogoinensis","perennial",NA,NA,NA,NA,NA
"Solms-laubachia eurycarpa","perennial",NA,NA,NA,NA,NA
"Solms-laubachia flabellata","perennial",NA,NA,NA,NA,NA
"Solms-laubachia himalayensis","perennial",NA,NA,NA,NA,NA
"Solms-laubachia incana","perennial",NA,NA,NA,NA,NA
"Solms-laubachia jafrii","perennial",NA,NA,NA,NA,NA
"Solms-laubachia kashgarica","perennial",NA,NA,NA,NA,NA
"Solms-laubachia lanata","perennial",NA,NA,NA,NA,NA
"Solms-laubachia linearifolia","perennial",NA,NA,NA,NA,NA
"Solms-laubachia linearis","perennial",NA,NA,NA,NA,NA
"Solms-laubachia minor","perennial",4,5.678835,0.012322,0.006161,4e-05
"Solms-laubachia platycarpa","perennial",NA,NA,NA,NA,NA
"Solms-laubachia prolifera","perennial",NA,NA,NA,NA,NA
"Solms-laubachia pulcherrima","perennial",NA,NA,NA,NA,NA
"Solms-laubachia retropilosa","perennial",5,5.655855,0.008987,0.004019,3.2e-05
"Solms-laubachia stewartii","perennial",NA,NA,NA,NA,NA
"Solms-laubachia villosa","perennial",NA,NA,NA,NA,NA
"Solms-laubachia xerophyta","perennial",NA,NA,NA,NA,NA
"Solms-laubachia zhongdianensis","perennial",NA,NA,NA,NA,NA
"Spryginia falcata","annual",NA,NA,NA,NA,NA
"Spryginia winkleri","annual",NA,NA,NA,NA,NA
"Streptoloma desertorum","annual",4,5.737827,0.009628,0.004814,4e-05
"Strigosella africana","annual",34,5.716497,0.018897,0.003241,5e-06
"Strigosella brevipes","annual",NA,NA,NA,NA,NA
"Strigosella scorpioides","annual",NA,NA,NA,NA,NA
"Tetracme contorta","annual",NA,NA,NA,NA,NA
"Tetracme quadricornis","annual",22,5.700756,0.026226,0.005591,7e-06
"Tetracme secunda","annual",NA,NA,NA,NA,NA
