"species","life_form","n","mean","sd","se"
"Croton abutiloides","perennial",7,178.285714285714,40.7091893217993,15.3866272886467
"Croton acapulcensis","perennial",2,240,4.24264068711928,3
"Croton acutifolius","perennial",3,187.666666666667,23.8607068908977,13.7759855465146
"Croton adenophyllum","no_life_form_on_database",NA,NA,NA,NA
"Croton adspersus","perennial",29,162.172413793103,32.7720143736752,6.08561029186282
"Croton aequatoris","perennial",5,228.6,10.0149887668434,4.47883913531174
"Croton alabamensis var. alabamensis","perennial",1,73,NA,NA
"Croton alabamensis var. texensis","perennial",3,90,3.60555127546399,2.08166599946613
"Croton alainii","perennial",1,215,NA,NA
"Croton alamosanus","perennial",36,187.888888888889,40.4769971908404,6.7461661984734
"Croton alchorneicarpus","perennial",6,126.5,24.139179770655,9.85477887456977
"Croton ameliae","perennial",3,230.333333333333,2.88675134594813,1.66666666666667
"Croton andinus","perennial",37,172.513513513514,35.0417383048191,5.7608262907316
"Croton antisyphiliticus","perennial",61,191.786885245902,30.609429241166,3.91913581656564
"Croton arboreus","perennial",25,218.48,24.3226917370042,4.86453834740084
"Croton argenteus","annual",108,205.166666666667,42.2879536988654,4.06916024191973
"Croton argentinus","perennial",13,97.7692307692308,22.5985023329491,6.26769683924159
"Croton argyranthemus","annual",51,113.56862745098,24.483672030119,3.42839983276493
"Croton argyratus","perennial",94,242.021276595745,29.0253795964561,2.99373931965113
"Croton argyrophyllus","perennial",56,223.714285714286,23.7576508524301,3.17474963587112
"Croton astroites","perennial",NA,NA,NA,NA
"Croton ater","perennial",NA,NA,NA,NA
"Croton atrostellatus","no_life_form_on_database",NA,NA,NA,NA
"Croton axillaris","perennial",11,219.545454545455,33.5748823865807,10.1232079324182
"Croton beetlei","perennial",9,167.555555555556,26.6885327018511,8.89617756728371
"Croton betulinus","perennial",10,235.9,14.7003401321194,4.64865571966778
"Croton billbergianus","perennial",34,228.852941176471,31.6200285137214,5.42279015226901
"Croton bispinosus","perennial",NA,NA,NA,NA
"Croton bixoides","perennial",2,252,0,0
"Croton blanchetianus","perennial",76,245.131578947368,19.6938854167231,2.25904358782014
"Croton boiteaui","perennial",5,187.8,23.7002109695251,10.5990565617889
"Croton bojerianus","perennial",10,187.2,38.6890739672642,12.2345594299282
"Croton bonplandianus","perennial",85,152.152941176471,47.8682482202459,5.1920405006975
"Croton bracteatus","perennial",1,199,NA,NA
"Croton breedlovei","perennial",1,212,NA,NA
"Croton brevipes","perennial",9,243.222222222222,15.097829130191,5.03260971006367
"Croton brittonianus","perennial",NA,NA,NA,NA
"Croton burchellii","perennial",NA,NA,NA,NA
"Croton caboensis","perennial",7,174.428571428571,28.2716415208901,10.685676088549
"Croton cajucara","perennial",42,243.904761904762,15.6949728223131,2.4217868840469
"Croton californicus","perennial",85,120.329411764706,53.4558982079741,5.79810623568165
"Croton campanulatus","perennial",1,164,NA,NA
"Croton capitatus","annual",145,48.5724137931035,50.953102733405,4.23142486653252
"Croton caracasanus","perennial",6,230.833333333333,26.2253058450548,10.7064362781356
"Croton cascarilloides","perennial",55,219.2,43.4909100762361,5.86431311835993
"Croton catamarcensis","perennial",NA,NA,NA,NA
"Croton caudatus","perennial",78,243.782051282051,38.9740664478042,4.41294403660741
"Croton ceanothifolius","perennial",26,134.192307692308,23.5898609250148,4.62635235306116
"Croton celtidifolius","perennial",43,159,23.2665711554869,3.54811883775356
"Croton cerinus","perennial",5,229.4,7.66811580507233,3.42928563989645
"Croton chamelensis","perennial",5,209,28.7402157263998,12.8530152104477
"Croton chichenensis","perennial",17,219.294117647059,29.8700617380563,7.24455409351334
"Croton chilensis","perennial",1,197,NA,NA
"Croton chocoanus","perennial",9,222.111111111111,38.7667526510941,12.922250883698
"Croton chrysodaphne","perennial",13,197.692307692308,21.6347891730912,6.00041089980256
"Croton ciliatoglandulifer","perennial",107,173.841121495327,44.5777145297137,4.30949032341353
"Croton columnaris","perennial",NA,NA,NA,NA
"Croton conduplicatus","perennial",34,229.058823529412,29.7035261415314,5.09411270701617
"Croton conspurcatus","perennial",NA,NA,NA,NA
"Croton cordiifolius","perennial",14,215.714285714286,24.4176120908614,6.52588133193944
"Croton coriaceus","perennial",3,151.666666666667,74.3796567169635,42.9431148277708
"Croton coriifolius","perennial",NA,NA,NA,NA
"Croton corinthius","perennial",NA,NA,NA,NA
"Croton coryi","annual",2,156,2.82842712474619,2
"Croton corylifolius","perennial",11,215.636363636364,27.4454831521426,8.27512452778889
"Croton craspedotrichus","perennial",2,233.5,0.707106781186548,0.5
