"species","life_form","n_bio_4","mean_bio_4","sd_bio_4","se_bio_4","within_sp_var_bio_4"
"Acnistus arborescens","perennial",132,5.963188,0.238643,0.020771,0.000351
"Anisodus acutangulus","perennial",NA,NA,NA,NA,NA
"Anisodus carniolicoides","perennial",NA,NA,NA,NA,NA
"Anisodus luridus","perennial",17,6.770148,0.108701,0.026364,0.002724
"Anisodus tanguticus","perennial",37,6.828885,0.084491,0.01389,0.001251
"Anthocercis angustifolia","perennial",4,6.604255,0.11623,0.058115,0.011576
"Anthocercis gracilis","perennial",1,6.515231,NA,NA,0.046303
"Anthocercis ilicifolia","perennial",NA,NA,NA,NA,NA
"Anthocercis intricata","perennial",4,6.418271,0.062071,0.031036,0.011576
"Anthocercis littorea","perennial",27,6.406042,0.136346,0.02624,0.001715
"Anthocercis myosotidea","perennial",NA,NA,NA,NA,NA
"Anthocercis racemosa","perennial",NA,NA,NA,NA,NA
"Anthocercis sylvicola","perennial",1,6.235293,NA,NA,0.046303
"Anthocercis viscosa","perennial",NA,NA,NA,NA,NA
"Anthotroche blackii","perennial",NA,NA,NA,NA,NA
"Anthotroche myoporoides","perennial",3,6.626834,0.042685,0.024644,0.015434
"Anthotroche pannosa","perennial",44,6.735958,0.07104,0.01071,0.001052
"Anthotroche walcottii","perennial",7,6.677247,0.113857,0.043034,0.006615
"Athenaea pogogena","perennial",15,6.075804,0.070772,0.018273,0.003087
"Atropa belladonna","perennial",146,6.796621,0.119071,0.009854,0.000317
"Atropa komarovii","perennial",NA,NA,NA,NA,NA
"Atropanthe sinensis","perennial",5,6.958761,0.039563,0.017693,0.009261
"Aureliana fasciculata","perennial",80,6.144646,0.171567,0.019182,0.000579
"Benthamiella patagonica","perennial",26,6.580745,0.108475,0.021274,0.001781
"Benthamiella skottsbergii","perennial",3,6.620049,0.071687,0.041389,0.015434
"Bouchetia anomala","perennial",9,6.560498,0.093615,0.031205,0.005145
"Bouchetia erecta","perennial",6,6.398145,0.211151,0.086202,0.007717
"Brachistus stramonifolius","perennial",33,6.048941,0.230478,0.040121,0.001403
"Browallia eludens","annual",4,6.764174,0.0768,0.0384,0.011576
"Browallia speciosa","annual",25,5.753497,0.070735,0.014147,0.001852
"Brugmansia arborea","perennial",10,5.92857,0.152498,0.048224,0.00463
"Brugmansia aurea","perennial",24,5.716028,0.029662,0.006055,0.001929
"Brugmansia sanguinea","perennial",24,5.796882,0.134007,0.027354,0.001929
"Brunfelsia americana","perennial",NA,NA,NA,NA,NA
"Brunfelsia uniflora","perennial",107,6.098718,0.185154,0.0179,0.000433
"Calibrachoa parviflora","perennial",118,6.622783,0.176932,0.016288,0.000392
"Calibrachoa pygmaea","annual",7,6.566797,0.05434,0.020539,0.006615
"Calibrachoa sellowiana","perennial",11,6.397388,0.033425,0.010078,0.004209
"Capsicum annuum","annual",112,6.260269,0.251682,0.023782,0.000413
"Capsicum baccatum","perennial",71,6.261307,0.163722,0.01943,0.000652
"Capsicum campylopodium","annual",7,6.169269,0.045951,0.017368,0.006615
"Capsicum cardenasii","no_life_form_on_database",1,6.093908,NA,NA,0.046303
"Capsicum ceratocalyx","no_life_form_on_database",1,6.053147,NA,NA,0.046303
"Capsicum chacoense","perennial",76,6.50716,0.135142,0.015502,0.000609
"Capsicum chinense","perennial",28,5.893552,0.106402,0.020108,0.001654
"Capsicum ciliatum","no_life_form_on_database",34,6.140148,0.278744,0.047804,0.001362
"Capsicum coccineum","perennial",17,5.892658,0.094903,0.023017,0.002724
"Capsicum eximium","perennial",11,6.272635,0.185991,0.056078,0.004209
"Capsicum flexuosum","perennial",49,6.365815,0.091745,0.013106,0.000945
