"species","life_form","n_bio_14","mean_bio_14","sd_bio_14","se_bio_14","within_sp_var_bio_14"
"Chorispora bungeana","perennial",30,2.057895,0.812677,0.148374,0.009568
"Chorispora macropoda","perennial",24,1.521689,1.072711,0.218966,0.011864
"Chorispora persica","annual",1,0,NA,NA,0.148297
"Chorispora purpurascens","annual",3,0.902683,0.822413,0.47482,0.059319
"Chorispora sabulosa","perennial",23,2.565572,0.869747,0.181355,0.012895
"Chorispora sibirica","annual",NA,NA,NA,NA,NA
"Chorispora songarica","perennial",1,3.091042,NA,NA,0.296594
"Chorispora tashkorganica","annual",NA,NA,NA,NA,NA
"Chorispora tenella","annual",131,2.599716,0.905862,0.079146,0.002197
"Diptychocarpus strictus","annual",12,1.478622,0.677108,0.195464,0.018537
"Litwinowia tenuissima","annual",NA,NA,NA,NA,NA
"Parrya ajanensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Parrya alba","perennial",NA,NA,NA,NA,NA
"Parrya albida","perennial",NA,NA,NA,NA,NA
"Parrya angrenica","no_life_form_on_database",NA,NA,NA,NA,NA
"Parrya arctica","perennial",87,1.214921,0.499884,0.053593,0.003409
"Parrya asperrima","perennial",NA,NA,NA,NA,NA
"Parrya australis","perennial",1,1.94591,NA,NA,0.296594
"Parrya darvazica","perennial",NA,NA,NA,NA,NA
"Parrya fruticulosa","perennial",NA,NA,NA,NA,NA
"Parrya glabra","perennial",NA,NA,NA,NA,NA
"Parrya kuramensis","perennial",NA,NA,NA,NA,NA
"Parrya lancifolia","perennial",NA,NA,NA,NA,NA
"Parrya longicarpa","perennial",NA,NA,NA,NA,NA
"Parrya maidantalica","perennial",1,2.639057,NA,NA,0.296594
"Parrya minjanensis","perennial",NA,NA,NA,NA,NA
"Parrya nauruaq","perennial",4,2.667285,0.136914,0.068457,0.074148
"Parrya nudicaulis","perennial",50,1.751385,0.824826,0.116648,0.005816
"Parrya nuratensis","perennial",NA,NA,NA,NA,NA
"Parrya papillosa","annual",NA,NA,NA,NA,NA
"Parrya pavlovii","perennial",1,1.791759,NA,NA,0.296594
"Parrya pazijae","perennial",NA,NA,NA,NA,NA
"Parrya pinnatifida","perennial",NA,NA,NA,NA,NA
"Parrya podlechii","perennial",NA,NA,NA,NA,NA
"Parrya popovii","perennial",NA,NA,NA,NA,NA
"Parrya pulvinata","perennial",NA,NA,NA,NA,NA
"Parrya runcinata","perennial",NA,NA,NA,NA,NA
"Parrya rydbergii","perennial",4,3.284528,0.428064,0.214032,0.074148
"Parrya saurica","perennial",1,2.484907,NA,NA,0.296594
"Parrya saxifraga","perennial",NA,NA,NA,NA,NA
"Parrya schugnana","perennial",1,0,NA,NA,0.296594
"Parrya simulatrix","no_life_form_on_database",NA,NA,NA,NA,NA
"Parrya stenocarpa","perennial",1,3.044522,NA,NA,0.296594
"Parrya stenophylla","no_life_form_on_database",1,3.258097,NA,NA,0.296594
"Parrya subsiliquosa","perennial",NA,NA,NA,NA,NA
"Parrya tianschanica","perennial",NA,NA,NA,NA,NA
"Parrya turkestanica","perennial",1,0.693147,NA,NA,0.296594
"Parrya villosula","no_life_form_on_database",NA,NA,NA,NA,NA
"Pseudoclausia gracillima","no_life_form_on_database",NA,NA,NA,NA,NA
"Pseudoclausia hispida","annual",NA,NA,NA,NA,NA
"Pseudoclausia mollissima","annual",NA,NA,NA,NA,NA
"Pseudoclausia olgae","annual",NA,NA,NA,NA,NA
"Pseudoclausia sarawschanica","annual",NA,NA,NA,NA,NA
"Pseudoclausia turkestanica","no_life_form_on_database",NA,NA,NA,NA,NA
