"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Aimara rollinsii","perennial",NA,NA,NA,NA,NA
"Aschersoniodoxa cachensis","perennial",5,8.026489,0.815084,0.364517,0.060918
"Aschersoniodoxa mandoniana","perennial",2,8.607719,0.147388,0.104219,0.152296
"Aschersoniodoxa peruviana","no_life_form_on_database",NA,NA,NA,NA,NA
"Atacama nivea","no_life_form_on_database",NA,NA,NA,NA,NA
"Brayopsis alpaminae","perennial",NA,NA,NA,NA,NA
"Brayopsis calycina","perennial",16,7.849829,1.570916,0.392729,0.019037
"Brayopsis colombiana","perennial",NA,NA,NA,NA,NA
"Brayopsis diapensioides","perennial",2,8.955937,0.024986,0.017668,0.152296
"Brayopsis gamosepala","perennial",NA,NA,NA,NA,NA
"Brayopsis monimocalyx","perennial",8,7.654631,0.796175,0.28149,0.038074
"Cremolobus chilensis","annual",NA,NA,NA,NA,NA
"Cremolobus peruvianus","perennial",9,9.225132,0.298796,0.099599,0.033844
"Cremolobus rhomboideus","annual",NA,NA,NA,NA,NA
"Dactylocardamum imbricatifolium","perennial",NA,NA,NA,NA,NA
"Eudema nubigena subsp. nubigena","no_life_form_on_database",2,9.264475,0.009445,0.006679,0.152296
"Eudema nubigena subsp. remyana","perennial",1,9.397484,NA,NA,0.304592
"Eudema rupestris","perennial",NA,NA,NA,NA,NA
"Mathewsia auriculata","perennial",3,6.14684,2.313322,1.335597,0.101531
"Mathewsia collina","no_life_form_on_database",NA,NA,NA,NA,NA
"Mathewsia densifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Mathewsia foliosa","perennial",NA,NA,NA,NA,NA
"Mathewsia incana","perennial",NA,NA,NA,NA,NA
"Mathewsia linearifolia","perennial",NA,NA,NA,NA,NA
"Mathewsia peruviana","no_life_form_on_database",NA,NA,NA,NA,NA
"Menonvillea chilensis","annual",5,5.498681,2.113475,0.945175,0.060918
"Menonvillea cicatricosa","perennial",3,8.223956,0.401168,0.231614,0.101531
"Menonvillea comberi","annual",NA,NA,NA,NA,NA
"Menonvillea cuneata","perennial",15,7.209457,0.962643,0.248553,0.020306
"Menonvillea famatinensis","perennial",1,7.130899,NA,NA,0.304592
"Menonvillea filifolia","annual",NA,NA,NA,NA,NA
"Menonvillea flexuosa","perennial",NA,NA,NA,NA,NA
"Menonvillea frigida","perennial",NA,NA,NA,NA,NA
"Menonvillea hookeri","no_life_form_on_database",12,7.916117,0.534734,0.154364,0.025383
"Menonvillea linearis","perennial",2,8.066454,0.950296,0.671961,0.152296
"Menonvillea litoralis","annual",4,7.268548,1.266465,0.633232,0.076148
"Menonvillea marticorenae","annual",NA,NA,NA,NA,NA
"Menonvillea minima","annual",NA,NA,NA,NA,NA
"Menonvillea nordenskjoeldii","perennial",5,8.445288,1.099419,0.491675,0.060918
"Menonvillea orbiculata","annual",NA,NA,NA,NA,NA
"Menonvillea patagonica","annual",9,7.650874,0.687945,0.229315,0.033844
"Menonvillea pinnatifida","annual",3,6.700599,1.870241,1.079784,0.101531
"Menonvillea purpurea","perennial",2,8.428907,0.437711,0.309508,0.152296
"Menonvillea rigida","perennial",NA,NA,NA,NA,NA
"Menonvillea scapigera","perennial",2,8.165706,0.348391,0.24635,0.152296
"Menonvillea spathulata","perennial",6,7.882277,0.308066,0.125767,0.050765
"Menonvillea virens","perennial",7,6.855102,1.103605,0.417123,0.043513
"Onuris alismatifolia","perennial",3,8.690569,1.001609,0.578279,0.101531
"Onuris graminifolia","perennial",18,8.053795,0.820029,0.193283,0.016922
"Onuris hatcheriana","perennial",3,7.944327,0.678465,0.391712,0.101531
"Onuris hauthalii","no_life_form_on_database",1,8.499436,NA,NA,0.304592
"Onuris papillosa","perennial",6,8.068987,0.439829,0.179559,0.050765
"Onuris spegazziniana","perennial",6,7.947858,1.137451,0.464362,0.050765
"Schizopetalon arcuatum","annual",1,5.537334,NA,NA,0.304592
"Schizopetalon bipinnatifidum","annual",NA,NA,NA,NA,NA
"Schizopetalon biseriatum","annual",NA,NA,NA,NA,NA
"Schizopetalon brachycarpum","annual",NA,NA,NA,NA,NA
"Schizopetalon dentatum","annual",2,7.163491,0.832144,0.588415,0.152296
"Schizopetalon maritimum","annual",NA,NA,NA,NA,NA
"Schizopetalon rupestre","annual",NA,NA,NA,NA,NA
"Schizopetalon tenuifolium","annual",NA,NA,NA,NA,NA
"Schizopetalon walkeri","annual",3,8.031144,0.692232,0.39966,0.101531
"Smelowskia calycina","perennial",31,8.047733,0.912117,0.163821,0.009826
"Thlaspi arvense","annual",608,8.872866,0.570024,0.023118,0.000501
"Xerodraba patagonica","perennial",4,7.373546,0.475011,0.237506,0.076148
"Xerodraba pectinata","no_life_form_on_database",4,7.731319,0.578894,0.289447,0.076148
"Xerodraba pycnophylloides","no_life_form_on_database",5,7.459267,0.33728,0.150836,0.060918
