"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Acritochaete volkensii","annual",12,9.366835,0.416518,0.120238,0.025345
"Acroceras excavatum","annual",25,9.129287,0.20827,0.041654,0.012166
"Acroceras tonkinense","perennial",NA,NA,NA,NA,NA
"Acroceras zizanioides","perennial",376,9.278235,0.476557,0.024577,0.000809
"Alexfloydia repens","perennial",2,9.228816,0.003263,0.002307,0.152071
"Alloteropsis angusta","perennial",NA,NA,NA,NA,NA
"Alloteropsis paniculata","annual",39,9.102204,0.506836,0.081159,0.007799
"Alloteropsis papillosa","perennial",13,8.577236,0.235752,0.065386,0.023396
"Alloteropsis semialata subsp. eckloniana","perennial",46,8.516493,0.424476,0.062586,0.006612
"Alloteropsis semialata subsp. semialata","perennial",23,8.671789,0.319075,0.066532,0.013224
"Amphicarpum amphicarpon","annual",7,9.052952,0.065569,0.024783,0.043449
"Amphicarpum muhlenbergianum","no_life_form_on_database",17,8.960757,0.098369,0.023858,0.017891
"Ancistrachne uncinulata","perennial",63,8.14634,0.385254,0.048537,0.004828
"Andropogon bicornis","perennial",479,9.341416,0.414939,0.018959,0.000635
"Andropogon chinensis","perennial",132,8.54043,0.622748,0.054203,0.002304
"Andropogon distachyos","perennial",70,8.400355,0.551965,0.065972,0.004345
"Andropogon eucomus","perennial",87,8.573571,0.578483,0.06202,0.003496
"Andropogon fastigiatus","no_life_form_on_database",229,8.74095,0.521936,0.034491,0.001328
"Andropogon gayanus","perennial",197,8.364186,0.64967,0.046287,0.001544
"Andropogon gerardii","perennial",497,8.623936,0.571987,0.025657,0.000612
"Andropogon glomeratus","perennial",239,8.571345,0.886023,0.057312,0.001273
"Andropogon ternarius","perennial",134,8.956081,0.329506,0.028465,0.00227
"Anthaenantiopsis rojasiana","perennial",5,9.21902,0.067293,0.030094,0.060828
"Anthenantia rufa","perennial",9,9.105838,0.133514,0.044505,0.033794
"Anthephora cristata","annual",NA,NA,NA,NA,NA
"Anthephora elongata","perennial",31,8.781497,0.256098,0.045997,0.009811
"Anthephora pubescens","perennial",57,7.149518,0.766608,0.10154,0.005336
"Apluda mutica","perennial",170,9.26581,0.632216,0.048489,0.001789
"Apocopis collinus","perennial",5,9.233516,0.302422,0.135247,0.060828
"Apocopis courtallumensis","annual",NA,NA,NA,NA,NA
"Apocopis intermedius","perennial",1,9.255983,NA,NA,0.304142
"Apocopis siamensis","annual",2,8.898118,0.013044,0.009224,0.152071
"Arthraxon hispidus","annual",227,9.119313,0.688849,0.045721,0.00134
"Arthraxon lanceolatus","perennial",1,8.72502,NA,NA,0.304142
"Arthropogon piptostachyus","perennial",NA,NA,NA,NA,NA
"Arthropogon villosus","perennial",28,9.146534,0.129829,0.024535,0.010862
"Arundinella bengalensis","perennial",27,9.137176,0.265418,0.05108,0.011265
"Arundinella berteroniana","perennial",142,9.319325,0.585031,0.049095,0.002142
"Arundinella deppeana","perennial",76,9.209611,0.454182,0.052098,0.004002
"Arundinella hirta","perennial",176,9.271729,0.482232,0.03635,0.001728
"Arundinella hispida","perennial",NA,NA,NA,NA,NA
"Arundinella kokutensis","annual",NA,NA,NA,NA,NA
"Arundinella nepalensis","perennial",227,8.533488,0.591933,0.039288,0.00134
"Arundinella setosa","perennial",161,9.032808,0.667674,0.05262,0.001889
"Axonopus anceps","perennial",42,9.42448,0.402905,0.06217,0.007241
"Axonopus argentinus","perennial",35,9.106564,0.345644,0.058424,0.00869
"Axonopus brasiliensis","perennial",84,9.226517,0.252938,0.027598,0.003621
"Axonopus compressus","annual",349,9.206275,0.498878,0.026704,0.000871
"Axonopus fissifolius","annual",248,9.156126,0.469611,0.02982,0.001226
"Axonopus furcatus","perennial",49,8.995681,0.141897,0.020271,0.006207
"Axonopus polystachyus","perennial",30,9.407638,0.265061,0.048393,0.010138
"Axonopus rosengurttii","no_life_form_on_database",3,8.821421,0.131033,0.075652,0.101381
"Axonopus siccus","perennial",129,9.075875,0.492863,0.043394,0.002358
"Bothriochloa alta","perennial",52,8.233632,0.468831,0.065015,0.005849
"Bothriochloa barbinodis","perennial",250,7.762084,0.63367,0.040077,0.001217
"Bothriochloa bladhii","perennial",234,8.560388,0.69126,0.045189,0.0013
"Bothriochloa compressa","perennial",NA,NA,NA,NA,NA
"Bothriochloa ewartiana","perennial",212,7.43933,0.629102,0.043207,0.001435
"Bothriochloa grahamii","perennial",NA,NA,NA,NA,NA
"Bothriochloa ischaemum","perennial",272,8.610772,0.654492,0.039684,0.001118
"Bothriochloa laguroides","perennial",73,8.610115,0.626587,0.073336,0.004166
"Bothriochloa macra","perennial",91,8.087661,0.660685,0.069259,0.003342
"Bothriochloa pertusa","perennial",126,8.45594,0.630671,0.056185,0.002414
"Bothriochloa saccharoides","perennial",127,8.230728,0.750969,0.066638,0.002395
"Bothriochloa springfieldii","perennial",89,7.613587,0.474545,0.050302,0.003417
"Brachiaria adspersa","no_life_form_on_database",4,8.694719,0.413319,0.206659,0.076035
"Brachiaria arizonica","no_life_form_on_database",60,7.352964,0.584186,0.075418,0.005069
"Brachiaria arrecta","no_life_form_on_database",42,8.757996,0.522132,0.080567,0.007241
"Brachiaria bovonei","no_life_form_on_database",35,8.75701,0.289544,0.048942,0.00869
