"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Acnistus arborescens","perennial",133,9.109149,0.742812,0.06441,0.002287
"Anisodus acutangulus","perennial",NA,NA,NA,NA,NA
"Anisodus carniolicoides","perennial",NA,NA,NA,NA,NA
"Anisodus luridus","perennial",17,8.502373,0.734257,0.178083,0.017891
"Anisodus tanguticus","perennial",37,8.558077,0.381861,0.062778,0.00822
"Anthocercis angustifolia","perennial",4,7.964316,0.509079,0.254539,0.076035
"Anthocercis gracilis","perennial",1,8.237744,NA,NA,0.304142
"Anthocercis ilicifolia","perennial",NA,NA,NA,NA,NA
"Anthocercis intricata","perennial",4,7.333096,0.28383,0.141915,0.076035
"Anthocercis littorea","perennial",25,7.8906,0.633282,0.126656,0.012166
"Anthocercis myosotidea","perennial",NA,NA,NA,NA,NA
"Anthocercis racemosa","perennial",NA,NA,NA,NA,NA
"Anthocercis sylvicola","perennial",1,8.819074,NA,NA,0.304142
"Anthocercis viscosa","perennial",NA,NA,NA,NA,NA
"Anthotroche blackii","perennial",NA,NA,NA,NA,NA
"Anthotroche myoporoides","perennial",3,7.161825,0.041352,0.023875,0.101381
"Anthotroche pannosa","perennial",44,6.897494,0.350869,0.052895,0.006912
"Anthotroche walcottii","perennial",7,7.153724,0.341209,0.128965,0.043449
"Athenaea pogogena","perennial",15,9.197858,0.443706,0.114564,0.020276
"Atropa belladonna","perennial",145,8.951168,0.474295,0.039388,0.002098
"Atropa komarovii","perennial",NA,NA,NA,NA,NA
"Atropanthe sinensis","perennial",5,9.24103,0.206283,0.092253,0.060828
"Aureliana fasciculata","perennial",79,9.272856,0.335062,0.037697,0.00385
"Benthamiella patagonica","perennial",25,7.363384,0.570651,0.11413,0.012166
"Benthamiella skottsbergii","perennial",3,7.180818,0.137783,0.079549,0.101381
"Bouchetia anomala","perennial",9,7.84872,0.670073,0.223358,0.033794
"Bouchetia erecta","perennial",6,8.041133,0.373274,0.152388,0.05069
"Brachistus stramonifolius","perennial",33,9.004814,0.503395,0.08763,0.009216
"Browallia eludens","annual",4,8.165295,0.370376,0.185188,0.076035
"Browallia speciosa","annual",25,9.810116,0.390211,0.078042,0.012166
"Brugmansia arborea","perennial",10,7.934111,1.79192,0.566655,0.030414
"Brugmansia aurea","perennial",24,9.429598,0.337798,0.068953,0.012673
"Brugmansia sanguinea","perennial",24,8.989798,0.812694,0.16589,0.012673
"Brunfelsia americana","perennial",NA,NA,NA,NA,NA
"Brunfelsia uniflora","perennial",107,9.031675,0.474706,0.045892,0.002842
"Calibrachoa parviflora","perennial",118,7.934742,0.748154,0.068873,0.002577
"Calibrachoa pygmaea","annual",7,9.056639,0.177952,0.06726,0.043449
"Calibrachoa sellowiana","perennial",11,9.560558,0.091762,0.027667,0.027649
"Capsicum annuum","annual",112,8.489085,0.588781,0.055635,0.002716
"Capsicum baccatum","perennial",70,8.974664,0.602936,0.072065,0.004345
"Capsicum campylopodium","annual",7,9.233471,0.164751,0.06227,0.043449
"Capsicum cardenasii","no_life_form_on_database",1,8.400884,NA,NA,0.304142
"Capsicum ceratocalyx","no_life_form_on_database",1,8.918784,NA,NA,0.304142
"Capsicum chacoense","perennial",76,8.349919,0.448039,0.051394,0.004002
"Capsicum chinense","perennial",28,9.507551,0.303854,0.057423,0.010862
"Capsicum ciliatum","no_life_form_on_database",34,8.557733,0.446649,0.0766,0.008945
"Capsicum coccineum","perennial",17,9.821995,0.386546,0.093751,0.017891
"Capsicum eximium","perennial",11,8.322204,0.465024,0.14021,0.027649
"Capsicum flexuosum","perennial",49,9.3753,0.185644,0.026521,0.006207
"Capsicum frutescens","perennial",18,9.129014,0.288233,0.067937,0.016897
"Capsicum galapagoense","perennial",NA,NA,NA,NA,NA
"Capsicum geminifolium","perennial",18,9.424878,0.527858,0.124417,0.016897
"Capsicum hunzikerianum","no_life_form_on_database",2,9.669024,0.323071,0.228446,0.152071
"Capsicum lanceolatum","perennial",14,9.284218,0.466539,0.124688,0.021724
"Capsicum lycianthoides","no_life_form_on_database",18,9.533869,0.425008,0.100175,0.016897
"Capsicum minutiflorum","no_life_form_on_database",3,9.082123,0.249873,0.144264,0.101381
"Capsicum pereirae","no_life_form_on_database",7,9.308502,0.18703,0.070691,0.043449
"Capsicum pubescens","perennial",17,8.68045,0.355931,0.086326,0.017891
"Capsicum recurvatum","perennial",15,9.545919,0.258523,0.06675,0.020276
"Capsicum rhomboideum","perennial",75,8.873169,0.571284,0.065966,0.004055
"Capsicum schottianum","no_life_form_on_database",14,9.575205,0.218616,0.058428,0.021724
"Capsicum tovarii","no_life_form_on_database",NA,NA,NA,NA,NA
"Capsicum villosum","no_life_form_on_database",9,9.470311,0.327843,0.109281,0.033794
"Cestrum acutifolium","perennial",NA,NA,NA,NA,NA
"Cestrum aurantiacum","perennial",41,8.980761,0.401647,0.062727,0.007418
"Cestrum chiriquianum","perennial",1,10.204925,NA,NA,0.304142
"Cestrum dasyanthum","perennial",3,9.18433,0.077502,0.044746,0.101381
"Cestrum diurnum","perennial",35,8.836937,0.376361,0.063617,0.00869
"Cestrum elegans","perennial",12,9.050171,0.474224,0.136897,0.025345
"Cestrum endlicheri","perennial",4,8.968669,1.020429,0.510215,0.076035
"Cestrum fasciculatum","perennial",20,8.915034,0.577673,0.129172,0.015207
"Cestrum fragile","perennial",7,9.527451,0.364837,0.137895,0.043449
"Cestrum fulvescens","perennial",11,8.587312,0.397198,0.11976,0.027649
"Cestrum glanduliferum","perennial",41,9.295746,0.453956,0.070896,0.007418
"Cestrum guatemalense","perennial",10,9.220157,0.424438,0.134219,0.030414
