"species","life_form","n","mean","sd","se"
"Aimara rollinsii","perennial",NA,NA,NA,NA
"Aschersoniodoxa cachensis","perennial",5,90.8,78.0044870504255,34.8846671189507
"Aschersoniodoxa mandoniana","perennial",2,55.5,14.8492424049175,10.5
"Aschersoniodoxa peruviana","no_life_form_on_database",NA,NA,NA,NA
"Atacama nivea","no_life_form_on_database",NA,NA,NA,NA
"Brayopsis alpaminae","perennial",NA,NA,NA,NA
"Brayopsis calycina","perennial",16,92.875,59.8218187620537,14.9554546905134
"Brayopsis colombiana","perennial",NA,NA,NA,NA
"Brayopsis diapensioides","perennial",2,64,2.82842712474619,2
"Brayopsis gamosepala","perennial",NA,NA,NA,NA
"Brayopsis monimocalyx","perennial",8,75.625,49.8338310215632,17.6189199239259
"Cremolobus chilensis","annual",NA,NA,NA,NA
"Cremolobus peruvianus","perennial",9,141.111111111111,67.7540486695158,22.5846828898386
"Cremolobus rhomboideus","annual",NA,NA,NA,NA
"Dactylocardamum imbricatifolium","perennial",NA,NA,NA,NA
"Eudema nubigena subsp. nubigena","no_life_form_on_database",2,39.5,21.920310216783,15.5
"Eudema nubigena subsp. remyana","perennial",1,51,NA,NA
"Eudema rupestris","perennial",NA,NA,NA,NA
"Mathewsia auriculata","perennial",3,191.666666666667,39.7156560229506,22.9298446958931
"Mathewsia collina","no_life_form_on_database",NA,NA,NA,NA
"Mathewsia densifolia","no_life_form_on_database",NA,NA,NA,NA
"Mathewsia foliosa","perennial",NA,NA,NA,NA
"Mathewsia incana","perennial",NA,NA,NA,NA
"Mathewsia linearifolia","perennial",NA,NA,NA,NA
"Mathewsia peruviana","no_life_form_on_database",NA,NA,NA,NA
"Menonvillea chilensis","annual",5,218.6,23.511699215497,10.5147515424759
"Menonvillea cicatricosa","perennial",3,121.666666666667,33.5608899365516,19.3763888391115
"Menonvillea comberi","annual",NA,NA,NA,NA
"Menonvillea cuneata","perennial",15,147.866666666667,66.7456436959069,17.2336510977428
"Menonvillea famatinensis","perennial",1,71,NA,NA
"Menonvillea filifolia","annual",NA,NA,NA,NA
"Menonvillea flexuosa","perennial",NA,NA,NA,NA
"Menonvillea frigida","perennial",NA,NA,NA,NA
"Menonvillea hookeri","no_life_form_on_database",12,144.666666666667,41.0062818543105,11.8374939335259
"Menonvillea linearis","perennial",2,215,45.254833995939,32
"Menonvillea litoralis","annual",4,219.75,25.9663243451976,12.9831621725988
"Menonvillea marticorenae","annual",NA,NA,NA,NA
"Menonvillea minima","annual",NA,NA,NA,NA
"Menonvillea nordenskjoeldii","perennial",5,78.6,50.6438545136525,22.6486202670273
"Menonvillea orbiculata","annual",NA,NA,NA,NA
"Menonvillea patagonica","annual",9,154.777777777778,32.8130224826127,10.9376741608709
"Menonvillea pinnatifida","annual",3,186.666666666667,28.6763549520042,16.5563012509169
"Menonvillea purpurea","perennial",2,152.5,43.1335136523794,30.5
"Menonvillea rigida","perennial",NA,NA,NA,NA
"Menonvillea scapigera","perennial",2,125,21.2132034355964,15
"Menonvillea spathulata","perennial",6,137.333333333333,57.1967365036386,23.3504698977225
"Menonvillea virens","perennial",7,97.2857142857143,71.3318869457278,26.9609190581958
"Onuris alismatifolia","perennial",3,94,30,17.3205080756888
"Onuris graminifolia","perennial",18,140.888888888889,39.7549684484829,9.37033592525983
"Onuris hatcheriana","perennial",3,94.6666666666667,52.5483903971695,30.3388273412873
"Onuris hauthalii","no_life_form_on_database",1,61,NA,NA
"Onuris papillosa","perennial",7,103.285714285714,24.2879550786961,9.17998414179117
"Onuris spegazziniana","perennial",6,107,70.6823881882892,28.8559641437722
"Schizopetalon arcuatum","annual",1,232,NA,NA
"Schizopetalon bipinnatifidum","annual",NA,NA,NA,NA
"Schizopetalon biseriatum","annual",NA,NA,NA,NA
"Schizopetalon brachycarpum","annual",NA,NA,NA,NA
"Schizopetalon dentatum","annual",2,176.5,23.3345237791561,16.5
"Schizopetalon maritimum","annual",NA,NA,NA,NA
"Schizopetalon rupestre","annual",NA,NA,NA,NA
"Schizopetalon tenuifolium","annual",NA,NA,NA,NA
"Schizopetalon walkeri","annual",3,210.333333333333,24.1936630821654,13.9682178931713
"Smelowskia calycina","perennial",31,86.5161290322581,53.3640771604157,9.58447119577657
"Thlaspi arvense","annual",613,177.497553017945,40.9625854779111,1.65446324471597
"Xerodraba patagonica","perennial",4,126,32.1558703816271,16.0779351908135
"Xerodraba pectinata","no_life_form_on_database",4,101.75,24.0468293128221,12.023414656411
"Xerodraba pycnophylloides","no_life_form_on_database",5,130.2,3.70135110466435,1.65529453572468
