"species","life_form","n_bio_6","mean_bio_6","sd_bio_6","se_bio_6","within_sp_var_bio_6"
"Heliophila acuminata","annual",5,5.629426,0.008441,0.003775,0.000102
"Heliophila africana","annual",5,5.639295,0.00701,0.003135,0.000102
"Heliophila amplexicaulis","annual",9,5.625168,0.0085,0.002833,5.6e-05
"Heliophila arenaria","annual",6,5.642473,0.00775,0.003164,8.5e-05
"Heliophila arenosa","annual",4,5.620952,0.014861,0.00743,0.000127
"Heliophila bulbostyla","annual",4,5.636025,0.006051,0.003026,0.000127
"Heliophila carnosa","perennial",27,5.612963,0.012657,0.002436,1.9e-05
"Heliophila cedarbergensis","perennial",NA,NA,NA,NA,NA
"Heliophila collina","annual",4,5.619844,0.00599,0.002995,0.000127
"Heliophila cornellsbergia","annual",NA,NA,NA,NA,NA
"Heliophila cornuta","perennial",15,5.623409,0.009608,0.002481,3.4e-05
"Heliophila coronopifolia","annual",5,5.637296,0.008059,0.003604,0.000102
"Heliophila crithmifolia","annual",13,5.628406,0.011269,0.003125,3.9e-05
"Heliophila descurva","no_life_form_on_database",4,5.614509,0.014462,0.007231,0.000127
"Heliophila deserticola","annual",16,5.630329,0.008187,0.002047,3.2e-05
"Heliophila digitata","annual",5,5.630666,0.014092,0.006302,0.000102
"Heliophila dregeana","perennial",3,5.62203,0.01899,0.010964,0.000169
"Heliophila elata","perennial",3,5.631958,0.00942,0.005439,0.000169
"Heliophila elongata","perennial",13,5.639721,0.016444,0.004561,3.9e-05
"Heliophila ephemera","annual",1,5.598977,NA,NA,0.000508
"Heliophila esterhuyseniae","perennial",NA,NA,NA,NA,NA
"Heliophila eximia","annual",1,5.633181,NA,NA,0.000508
"Heliophila gariepina","annual",2,5.629777,0.000254,0.00018,0.000254
"Heliophila glauca","perennial",4,5.625177,0.016615,0.008308,0.000127
"Heliophila hurkana","perennial",2,5.622495,0.01764,0.012473,0.000254
"Heliophila juncea","perennial",NA,NA,NA,NA,NA
"Heliophila lactea","annual",7,5.634454,0.011313,0.004276,7.3e-05
"Heliophila latisiliqua","no_life_form_on_database",NA,NA,NA,NA,NA
"Heliophila linearis var. linearis","no_life_form_on_database",NA,NA,NA,NA,NA
"Heliophila linoides","annual",3,5.626217,0.028239,0.016304,0.000169
"Heliophila macowaniana","annual",5,5.632488,0.011087,0.004958,0.000102
"Heliophila macra","no_life_form_on_database",3,5.641491,0.002361,0.001363,0.000169
"Heliophila macrosperma","perennial",NA,NA,NA,NA,NA
"Heliophila maraisiana","perennial",5,5.620132,0.006181,0.002764,0.000102
"Heliophila minima","annual",NA,NA,NA,NA,NA
"Heliophila monosperma","perennial",1,5.639244,NA,NA,0.000508
"Heliophila namaquana","annual",6,5.616218,0.012784,0.005219,8.5e-05
"Heliophila nubigena","perennial",2,5.611115,0.004137,0.002925,0.000254
"Heliophila pectinata","annual",7,5.615765,0.010273,0.003883,7.3e-05
"Heliophila pinnata","annual",5,5.626925,0.00555,0.002482,0.000102
"Heliophila polygaloides","perennial",1,5.609289,NA,NA,0.000508
"Heliophila pubescens","annual",4,5.61439,0.006308,0.003154,0.000127
"Heliophila pusilla","annual",8,5.63102,0.015266,0.005397,6.4e-05
"Heliophila refracta","annual",5,5.638079,0.008124,0.003633,0.000102
"Heliophila rigidiuscula","perennial",22,5.619997,0.019891,0.004241,2.3e-05
"Heliophila scoparia var. aspera","no_life_form_on_database",NA,NA,NA,NA,NA
"Heliophila seselifolia","annual",19,5.625067,0.009495,0.002178,2.7e-05
"Heliophila suavissima","perennial",21,5.614155,0.011066,0.002415,2.4e-05
"Heliophila suborbicularis","annual",5,5.616708,0.008134,0.003638,0.000102
"Heliophila subulata","annual",18,5.638831,0.017029,0.004014,2.8e-05
"Heliophila tricuspidata","perennial",1,5.62852,NA,NA,0.000508
"Heliophila trifurca","annual",19,5.624549,0.00775,0.001778,2.7e-05
"Heliophila tulbaghensis","perennial",NA,NA,NA,NA,NA
"Heliophila variabilis","annual",11,5.630331,0.010426,0.003144,4.6e-05
