species,life_form,n_bio_5,mean_bio_5,sd_bio_5,se_bio_5,within_sp_var_bio_5
Achnatherum wallowaense,no_life_form_on_database,3,5.696694,0.004781,0.00276,5.40E-05
Aciachne acicularis,perennial,27,5.656409,0.016539,0.003183,6.00E-06
Aciachne flagellifera,perennial,6,5.656434,0.018281,0.007463,2.70E-05
Aciachne pulvinata,perennial,14,5.651175,0.011341,0.003031,1.20E-05
Aegilops bicornis,annual,NA,NA,NA,NA,NA
Aegilops biuncialis,annual,83,5.709779,0.012665,0.00139,2.00E-06
Aegilops caudata,annual,32,5.712667,0.014758,0.002609,5.00E-06
Aegilops columnaris,annual,9,5.714731,0.013621,0.00454,1.80E-05
Aegilops comosa,annual,17,5.711839,0.008927,0.002165,1.00E-05
Aegilops crassa,annual,20,5.735143,0.01249,0.002793,8.00E-06
Aegilops cylindrica,annual,95,5.70923,0.011132,0.001142,2.00E-06
Aegilops geniculata,annual,155,5.707649,0.009957,8.00E-04,1.00E-06
Aegilops juvenalis,annual,4,5.741039,0.010199,0.005099,4.00E-05
Aegilops kotschyi,annual,24,5.737274,0.02102,0.004291,7.00E-06
Aegilops longissima,annual,NA,NA,NA,NA,NA
Aegilops peregrina,annual,13,5.710759,0.008929,0.002476,1.20E-05
Aegilops searsii,annual,1,5.718507,NA,NA,0.000162
Aegilops sharonensis,annual,1,5.715546,NA,NA,0.000162
Aegilops speltoides,annual,12,5.731666,0.013437,0.003879,1.30E-05
Aegilops tauschii,annual,42,5.716103,0.014489,0.002236,4.00E-06
Aegilops triuncialis,annual,253,5.713393,0.014365,0.000903,1.00E-06
Aegilops umbellulata,annual,39,5.721618,0.019017,0.003045,4.00E-06
Aegilops uniaristata,annual,6,5.70542,0.008119,0.003315,2.70E-05
Aegilops vavilovii,annual,NA,NA,NA,NA,NA
Aegilops ventricosa,annual,83,5.713964,0.013988,0.001535,2.00E-06
Agropogon lutosus,no_life_form_on_database,NA,NA,NA,NA,NA
Agropyron brownei,no_life_form_on_database,NA,NA,NA,NA,NA
Agropyron cristatum,perennial,370,5.697804,0.012672,0.000659,0
Agropyron desertorum,perennial,70,5.706416,0.01082,0.001293,2.00E-06
Agropyron fragile,perennial,35,5.711706,0.009044,0.001529,5.00E-06
Agropyron mongolicum,perennial,4,5.710915,0.00481,0.002405,4.00E-05
Agropyron retrofractum,no_life_form_on_database,NA,NA,NA,NA,NA
Agropyron velutinum,no_life_form_on_database,NA,NA,NA,NA,NA
Agrostis avenacea,no_life_form_on_database,23,5.696077,0.014786,0.003083,7.00E-06
Agrostis billardierei,no_life_form_on_database,NA,NA,NA,NA,NA
Agrostis botelhoi,no_life_form_on_database,NA,NA,NA,NA,NA
Agrostis canina,perennial,390,5.683879,0.011754,0.000595,0
Agrostis capillaris,perennial,640,5.682742,0.013598,0.000538,0
Agrostis castellana,perennial,90,5.702734,0.01222,0.001288,2.00E-06
Agrostis clavata,annual,263,5.689312,0.012588,0.000776,1.00E-06
Agrostis congestiflora,perennial,NA,NA,NA,NA,NA
Agrostis durieui,no_life_form_on_database,11,5.685745,0.009725,0.002932,1.50E-05
Agrostis exarata,perennial,360,5.694529,0.021549,0.001136,0
Agrostis gigantea,perennial,621,5.689018,0.013074,0.000525,0
Agrostis gracililaxa,perennial,NA,NA,NA,NA,NA
Agrostis hyemalis,perennial,337,5.711288,0.011394,0.000621,0
Agrostis idahoensis,perennial,102,5.689276,0.016539,0.001638,2.00E-06
Agrostis imbecilla,perennial,6,5.669122,0.005194,0.00212,2.70E-05
Agrostis imberbis,perennial,15,5.681296,0.014135,0.00365,1.10E-05
Agrostis leptostachys,no_life_form_on_database,NA,NA,NA,NA,NA
Agrostis mertensii,perennial,407,5.667533,0.01272,0.000631,0
Agrostis meyenii,perennial,31,5.665774,0.015134,0.002718,5.00E-06
Agrostis muelleriana,annual,28,5.66379,0.013494,0.00255,6.00E-06
Agrostis muscosa,perennial,16,5.666502,0.010799,0.0027,1.00E-05
Agrostis pallens,perennial,80,5.698056,0.013527,0.001512,2.00E-06
Agrostis pallescens,perennial,NA,NA,NA,NA,NA
Agrostis personata,perennial,23,5.664406,0.010774,0.002247,7.00E-06
Agrostis petriei,perennial,6,5.66398,0.007245,0.002958,2.70E-05
Agrostis scabra,perennial,939,5.690786,0.016173,0.000528,0
Agrostis stolonifera,perennial,747,5.687474,0.015598,0.000571,0
Agrostis tenerrima,annual,24,5.713462,0.010314,0.002105,7.00E-06
Agrostis thurberiana,no_life_form_on_database,66,5.6802,0.01708,0.002102,2.00E-06
Agrostis vinealis,perennial,434,5.683386,0.014705,0.000706,0
Aira caryophyllea,annual,198,5.69101,0.012996,0.000924,1.00E-06
Aira cupaniana,annual,87,5.707103,0.009367,0.001004,2.00E-06
Aira praecox,annual,134,5.686889,0.010814,0.000934,1.00E-06
Airopsis tenella,annual,28,5.709316,0.010998,0.002078,6.00E-06
Alopecurus aequalis,annual,1350,5.690458,0.017092,0.000465,0
Alopecurus geniculatus,annual,420,5.682747,0.012836,0.000626,0
Alopecurus gerardii,perennial,17,5.682751,0.011076,0.002686,1.00E-05
Alopecurus japonicus,annual,36,5.713133,0.006792,0.001132,4.00E-06
Alopecurus magellanicus,perennial,238,5.655519,0.020308,0.001316,1.00E-06
Alopecurus myosuroides,annual,140,5.708401,0.015963,0.001349,1.00E-06
Alopecurus pratensis,perennial,590,5.686583,0.013076,0.000538,0
Alopecurus textilis,perennial,14,5.68048,0.016838,0.0045,1.20E-05
Alopecurus vaginatus,perennial,NA,NA,NA,NA,NA
Ammochloa palaestina,annual,12,5.721588,0.015874,0.004582,1.30E-05
Ammophila arenaria,no_life_form_on_database,209,5.688863,0.014029,0.00097,1.00E-06
Ammophila breviligulata,no_life_form_on_database,100,5.691436,0.011086,0.001109,2.00E-06
Ammophila champlainensis,no_life_form_on_database,NA,NA,NA,NA,NA
Ampelodesmos mauritanicus,perennial,37,5.706078,0.009977,0.00164,4.00E-06
Aniselytron treutleri,perennial,6,5.685584,0.014748,0.006021,2.70E-05
Anisopogon avenaceus,perennial,16,5.69456,0.005286,0.001322,1.00E-05
Anthochloa lepidula,no_life_form_on_database,12,5.654699,0.016574,0.004785,1.30E-05
Anthoxanthum amarum,perennial,10,5.6951,0.009993,0.00316,1.60E-05
Anthoxanthum aristatum,annual,57,5.701576,0.012676,0.001679,3.00E-06
Anthoxanthum odoratum,perennial,610,5.685149,0.014563,0.00059,0
Antinoria agrostidea,annual,28,5.704039,0.014448,0.00273,6.00E-06
Apera interrupta,annual,62,5.69854,0.012247,0.001555,3.00E-06
Apera spica-venti,annual,235,5.694551,0.009555,0.000623,1.00E-06
Aphanelytrum peruvianum,no_life_form_on_database,NA,NA,NA,NA,NA
Aphanelytrum procumbens,no_life_form_on_database,7,5.655841,0.013283,0.005021,2.30E-05
Arctagrostis latifolia,perennial,543,5.659887,0.017172,0.000737,0
Arctophila fulva,no_life_form_on_database,NA,NA,NA,NA,NA
Arrhenatherum album,perennial,55,5.708763,0.010862,0.001465,3.00E-06
Arrhenatherum calderae,perennial,NA,NA,NA,NA,NA
Arrhenatherum elatius,no_life_form_on_database,NA,NA,NA,NA,NA
Arrhenatherum longifolium,perennial,NA,NA,NA,NA,NA
Arrhenatherum palaestinum,perennial,24,5.703937,0.011859,0.002421,7.00E-06
Australopyrum calcis,perennial,NA,NA,NA,NA,NA
Austrofestuca eriopoda,no_life_form_on_database,NA,NA,NA,NA,NA
Austrofestuca hookeriana,no_life_form_on_database,NA,NA,NA,NA,NA
Austrofestuca littoralis,no_life_form_on_database,NA,NA,NA,NA,NA
Austrofestuca triticoides,no_life_form_on_database,NA,NA,NA,NA,NA
Avena abyssinica,annual,NA,NA,NA,NA,NA
Avena barbata,annual,152,5.70881,0.010012,0.000812,1.00E-06
Avena brevis,annual,5,5.692009,0.003463,0.001549,3.20E-05
Avena clauda,annual,16,5.722273,0.013544,0.003386,1.00E-05
Avena eriantha,annual,5,5.719847,0.009824,0.004393,3.20E-05
Avena fatua,annual,440,5.695645,0.016288,0.000776,0
Avena insularis,annual,NA,NA,NA,NA,NA
Avena longiglumis,annual,20,5.713809,0.009084,0.002031,8.00E-06
Avena maroccana,no_life_form_on_database,NA,NA,NA,NA,NA
Avena murphyi,annual,NA,NA,NA,NA,NA
Avena nuda,annual,4,5.692377,0.0046,0.0023,4.00E-05
Avena prostrata,annual,NA,NA,NA,NA,NA
Avena sativa,annual,NA,NA,NA,NA,NA
Avena sterilis,annual,203,5.717357,0.016365,0.001149,1.00E-06
Avena strigosa,annual,5,5.696576,0.005938,0.002656,3.20E-05
Avena vaviloviana,annual,14,5.699213,0.011321,0.003026,1.20E-05
Avena ventricosa,annual,NA,NA,NA,NA,NA
Beckmannia syzigachne,annual,670,5.695708,0.014152,0.000547,0
Boissiera squarrosa,no_life_form_on_database,10,5.723703,0.019741,0.006243,1.60E-05
Brachyelytrum aristosum,perennial,105,5.694882,0.008717,0.000851,2.00E-06
Brachyelytrum erectum,perennial,192,5.705975,0.011316,0.000817,1.00E-06
Brachypodium arbuscula,perennial,1,5.691204,NA,NA,0.000162
Brachypodium distachyon,annual,NA,NA,NA,NA,NA
Brachypodium mexicanum,perennial,95,5.684712,0.023729,0.002435,2.00E-06
Brachypodium phoenicoides,perennial,87,5.705834,0.010638,0.001141,2.00E-06
Brachypodium pinnatum,perennial,433,5.691724,0.009169,0.000441,0
Brachypodium retusum,perennial,97,5.704285,0.010241,0.00104,2.00E-06
Brachypodium sylvaticum,perennial,555,5.693015,0.014552,0.000618,0
Briza ambigua,no_life_form_on_database,NA,NA,NA,NA,NA
Briza brachychaete,no_life_form_on_database,NA,NA,NA,NA,NA
Briza brasiliensis,no_life_form_on_database,1,5.687822,NA,NA,0.000162
Briza brizoides,no_life_form_on_database,NA,NA,NA,NA,NA
Briza calotheca,no_life_form_on_database,39,5.702905,0.011204,0.001794,4.00E-06
Briza erecta,no_life_form_on_database,17,5.711621,0.006932,0.001681,1.00E-05
Briza itatiaiae,no_life_form_on_database,2,5.689175,0.001913,0.001353,8.10E-05
Briza juergensii,no_life_form_on_database,5,5.698362,0.009948,0.004449,3.20E-05
Briza lamarckiana,no_life_form_on_database,11,5.703552,0.008649,0.002608,1.50E-05
Briza maxima,annual,158,5.705139,0.01262,0.001004,1.00E-06
Briza media,perennial,424,5.688562,0.01168,0.000567,0
Briza minor,annual,131,5.704348,0.011992,0.001048,1.00E-06
Briza monandra,no_life_form_on_database,20,5.672507,0.016478,0.003685,8.00E-06
Briza paleapilifera,no_life_form_on_database,5,5.691647,0.008472,0.003789,3.20E-05
Briza parodiana,no_life_form_on_database,NA,NA,NA,NA,NA
Briza poimorpha,no_life_form_on_database,NA,NA,NA,NA,NA
Briza rufa,no_life_form_on_database,14,5.700541,0.006843,0.001829,1.20E-05
Briza scabra,no_life_form_on_database,NA,NA,NA,NA,NA
Briza subaristata,no_life_form_on_database,110,5.702926,0.012524,0.001194,1.00E-06
Briza uniolae,no_life_form_on_database,37,5.705179,0.015808,0.002599,4.00E-06
Bromus alopecuros,annual,22,5.709611,0.01002,0.002136,7.00E-06
Bromus anomalus,perennial,106,5.704478,0.0157,0.001525,2.00E-06
Bromus arenarius,annual,157,5.716109,0.013013,0.001039,1.00E-06
Bromus arvensis,annual,86,5.700176,0.011139,0.001201,2.00E-06
Bromus attenuatus,perennial,3,5.698491,0.01822,0.010519,5.40E-05
Bromus ayacuchensis,perennial,1,5.663134,NA,NA,0.000162
Bromus berteroanus,annual,32,5.685967,0.01761,0.003113,5.00E-06
Bromus brachyantherus,perennial,26,5.696209,0.009686,0.0019,6.00E-06
Bromus briziformis,annual,5,5.699657,0.006501,0.002907,3.20E-05
Bromus carinatus,annual,245,5.702275,0.017377,0.00111,1.00E-06
Bromus catharticus,annual,100,5.682432,0.021337,0.002134,2.00E-06
Bromus cebadilla,perennial,1,5.716205,NA,NA,0.000162
