"species","life_form","n_bio_5","mean_bio_5","sd_bio_5","se_bio_5","within_sp_var_bio_5"
"Chaunanthus acuminatus","perennial",1,5.711585,NA,NA,0.000162
"Chaunanthus petiolatus","perennial",2,5.694045,0.009758,0.0069,8.1e-05
"Chilocardamum castellanosii","perennial",3,5.680563,0.004846,0.002798,5.4e-05
"Chilocardamum patagonicum","perennial",10,5.676859,0.008432,0.002666,1.6e-05
"Chlorocrambe hastata","perennial",5,5.702,0.006028,0.002696,3.2e-05
"Dictyophragmus englerianus","annual",NA,NA,NA,NA,NA
"Dictyophragmus punensis","annual",1,5.657215,NA,NA,0.000162
"Dryopetalon auriculatum","annual",NA,NA,NA,NA,NA
"Dryopetalon paysonii","no_life_form_on_database",NA,NA,NA,NA,NA
"Dryopetalon runcinatum","annual",29,5.725656,0.012359,0.002295,6e-06
"Englerocharis pauciflora","perennial",NA,NA,NA,NA,NA
"Hesperidanthus argillaceus","perennial",NA,NA,NA,NA,NA
"Hesperidanthus barnebyi","perennial",NA,NA,NA,NA,NA
"Hesperidanthus jaegeri","perennial",1,5.705947,NA,NA,0.000162
"Hesperidanthus linearifolius","perennial",69,5.714668,0.012049,0.001451,2e-06
"Ivania cremnophila","perennial",1,5.664868,NA,NA,0.000162
"Ivania juncalensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Mostacillastrum andinum","perennial",7,5.67935,0.016357,0.006182,2.3e-05
"Mostacillastrum commune","annual",12,5.681859,0.010155,0.002931,1.3e-05
"Mostacillastrum gracile","perennial",3,5.670508,0.003876,0.002238,5.4e-05
"Mostacillastrum leptocarpum","perennial",5,5.688747,0.01512,0.006762,3.2e-05
"Mostacillastrum orbignyanum","perennial",25,5.687028,0.018893,0.003779,6e-06
"Mostacillastrum sagittatum","no_life_form_on_database",NA,NA,NA,NA,NA
"Mostacillastrum stenophyllum","perennial",12,5.699456,0.021417,0.006183,1.3e-05
"Mostacillastrum subauriculatum","annual",NA,NA,NA,NA,NA
"Mostacillastrum subscandens","perennial",3,5.710118,0.009998,0.005772,5.4e-05
"Mostacillastrum vaseyi","no_life_form_on_database",NA,NA,NA,NA,NA
"Neuontobotrys frutescens","perennial",12,5.6942,0.01195,0.00345,1.3e-05
"Neuontobotrys grayana","no_life_form_on_database",NA,NA,NA,NA,NA
"Neuontobotrys lanata","perennial",7,5.66805,0.008515,0.003218,2.3e-05
"Neuontobotrys linearifolia","perennial",NA,NA,NA,NA,NA
"Neuontobotrys tarapacana","perennial",15,5.672458,0.012638,0.003263,1.1e-05
"Parodiodoxa chionophila","perennial",8,5.659477,0.024581,0.008691,2e-05
"Phlebolobium maclovianum","perennial",NA,NA,NA,NA,NA
"Phravenia viereckii","no_life_form_on_database",NA,NA,NA,NA,NA
"Polypsecadium adscendens","perennial",NA,NA,NA,NA,NA
"Polypsecadium effusum","no_life_form_on_database",NA,NA,NA,NA,NA
"Polypsecadium grandiflorum","annual",4,5.676148,0.015686,0.007843,4e-05
"Polypsecadium harmsianum","annual",4,5.694018,0.019049,0.009524,4e-05
"Polypsecadium magellanicum","perennial",6,5.659889,0.01181,0.004821,2.7e-05
"Polypsecadium rusbyi","no_life_form_on_database",NA,NA,NA,NA,NA
"Polypsecadium solidagineum","no_life_form_on_database",NA,NA,NA,NA,NA
"Polypsecadium tucumanense","perennial",1,5.64633,NA,NA,0.000162
"Pringlea antiscorbutica","no_life_form_on_database",NA,NA,NA,NA,NA
"Romanschulzia arabiformis","annual",15,5.691167,0.017924,0.004628,1.1e-05
"Romanschulzia costaricensis","annual",2,5.672784,0.009725,0.006877,8.1e-05
"Sarcodraba dusenii","perennial",2,5.667983,0.000489,0.000346,8.1e-05
"Sibara angelorum","no_life_form_on_database",10,5.718695,0.019674,0.006221,1.6e-05
"Sibara deserti","annual",6,5.743074,0.009263,0.003782,2.7e-05
"Sibara laxa","no_life_form_on_database",17,5.726818,0.009148,0.002219,1e-05
"Sibara macrostachya","no_life_form_on_database",NA,NA,NA,NA,NA
"Sibara mendocina","no_life_form_on_database",NA,NA,NA,NA,NA
"Sibara tehuelches","no_life_form_on_database",NA,NA,NA,NA,NA
"Stanleya elata","perennial",16,5.724797,0.008443,0.002111,1e-05
"Stanleya pinnata","perennial",150,5.720129,0.012143,0.000991,1e-06
"Stanleya tomentosa","perennial",NA,NA,NA,NA,NA
"Streptanthella longirostris","no_life_form_on_database",94,5.728386,0.013423,0.001384,2e-06
"Streptanthus amplexicaulis","annual",NA,NA,NA,NA,NA
"Streptanthus anceps","annual",NA,NA,NA,NA,NA
"Streptanthus barbatus","perennial",6,5.702473,0.008552,0.003491,2.7e-05
"Streptanthus barbiger","annual",3,5.707182,0.024775,0.014304,5.4e-05
"Streptanthus batrachopus","annual",1,5.687484,NA,NA,0.000162
"Streptanthus bernardinus","perennial",4,5.716239,0.018597,0.009298,4e-05
"Streptanthus brachiatus","annual",1,5.69491,NA,NA,0.000162
"Streptanthus bracteatus","annual",3,5.726683,0.002587,0.001494,5.4e-05
"Streptanthus breweri","annual",9,5.702879,0.01251,0.00417,1.8e-05
"Streptanthus californicus","annual",NA,NA,NA,NA,NA
"Streptanthus callistus","annual",NA,NA,NA,NA,NA
"Streptanthus campestris","perennial",15,5.706911,0.012902,0.003331,1.1e-05
"Streptanthus carinatus","annual",19,5.728929,0.005876,0.001348,9e-06
"Streptanthus cooperi","annual",NA,NA,NA,NA,NA
"Streptanthus cordatus","perennial",62,5.713101,0.012992,0.00165,3e-06
"Streptanthus coulteri","annual",1,5.724075,NA,NA,0.000162
"Streptanthus crassicaulis","perennial",NA,NA,NA,NA,NA
"Streptanthus cutleri","annual",1,5.732532,NA,NA,0.000162
"Streptanthus diversifolius","annual",5,5.724259,0.005545,0.00248,3.2e-05
"Streptanthus farnsworthianus","annual",2,5.731227,0.005962,0.004216,8.1e-05
"Streptanthus fenestratus","annual",1,5.718507,NA,NA,0.000162
"Streptanthus flavescens","annual",NA,NA,NA,NA,NA
"Streptanthus glandulosus subsp. glandulosus","no_life_form_on_database",9,5.707221,0.011128,0.003709,1.8e-05
"Streptanthus glandulosus var. albidus","no_life_form_on_database",NA,NA,NA,NA,NA
"Streptanthus glandulosus var. niger","annual",NA,NA,NA,NA,NA
"Streptanthus glaucus","perennial",NA,NA,NA,NA,NA
"Streptanthus hallii","annual",NA,NA,NA,NA,NA
"Streptanthus hammittii","annual",NA,NA,NA,NA,NA
"Streptanthus hesperidis","annual",2,5.701541,0.017008,0.012026,8.1e-05
"Streptanthus heterophyllus","annual",6,5.724292,0.011527,0.004706,2.7e-05
"Streptanthus hispidus","annual",1,5.69289,NA,NA,0.000162
