"species","life_form","n_bio_1","mean_bio_1","sd_bio_1","se_bio_1","within_sp_var_bio_1"
"Croton abutiloides","perennial",7,5.677441,0.012831,0.00485,2.9e-05
"Croton acapulcensis","perennial",2,5.699941,0.00142,0.001004,1e-04
"Croton acutifolius","perennial",3,5.680437,0.020015,0.011556,6.7e-05
"Croton adenophyllum","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton adspersus","perennial",29,5.677948,0.010214,0.001897,7e-06
"Croton aequatoris","perennial",5,5.693158,0.00197,0.000881,4e-05
"Croton alabamensis var. alabamensis","perennial",1,5.671087,NA,NA,2e-04
"Croton alabamensis var. texensis","perennial",3,5.678408,0.000522,0.000301,6.7e-05
"Croton alainii","perennial",1,5.690866,NA,NA,2e-04
"Croton alamosanus","perennial",36,5.691421,0.009636,0.001606,6e-06
"Croton alchorneicarpus","perennial",6,5.670479,0.009059,0.003698,3.3e-05
"Croton ameliae","perennial",3,5.699719,0.000387,0.000223,6.7e-05
"Croton andinus","perennial",37,5.688591,0.008738,0.001437,5e-06
"Croton antisyphiliticus","perennial",61,5.686915,0.007758,0.000993,3e-06
"Croton arboreus","perennial",25,5.697835,0.005862,0.001172,8e-06
"Croton argenteus","annual",108,5.695055,0.008809,0.000848,2e-06
"Croton argentinus","perennial",13,5.667741,0.007993,0.002217,1.5e-05
"Croton argyranthemus","annual",51,5.680877,0.00555,0.000777,4e-06
"Croton argyratus","perennial",95,5.697966,0.00865,0.000887,2e-06
"Croton argyrophyllus","perennial",56,5.695577,0.00693,0.000926,4e-06
"Croton astroites","perennial",NA,NA,NA,NA,NA
"Croton ater","perennial",NA,NA,NA,NA,NA
"Croton atrostellatus","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton axillaris","perennial",11,5.696036,0.008844,0.002667,1.8e-05
"Croton beetlei","perennial",9,5.685815,0.004971,0.001657,2.2e-05
"Croton betulinus","perennial",10,5.699902,0.003769,0.001192,2e-05
"Croton billbergianus","perennial",34,5.695028,0.009089,0.001559,6e-06
"Croton bispinosus","perennial",NA,NA,NA,NA,NA
"Croton bixoides","perennial",2,5.702782,0.000236,0.000167,1e-04
"Croton blanchetianus","perennial",76,5.701384,0.005341,0.000613,3e-06
"Croton boiteaui","perennial",5,5.686716,0.007444,0.003329,4e-05
"Croton bojerianus","perennial",10,5.688288,0.013066,0.004132,2e-05
"Croton bonplandianus","perennial",85,5.684303,0.012977,0.001408,2e-06
"Croton bracteatus","perennial",1,5.69289,NA,NA,2e-04
"Croton breedlovei","perennial",1,5.691879,NA,NA,2e-04
"Croton brevipes","perennial",9,5.699119,0.003275,0.001092,2.2e-05
"Croton brittonianus","perennial",NA,NA,NA,NA,NA
"Croton burchellii","perennial",NA,NA,NA,NA,NA
"Croton caboensis","perennial",7,5.692696,0.001864,0.000705,2.9e-05
"Croton cajucara","perennial",42,5.699104,0.004301,0.000664,5e-06
"Croton californicus","perennial",85,5.681033,0.015139,0.001642,2e-06
"Croton campanulatus","perennial",1,5.680343,NA,NA,2e-04
"Croton capitatus","annual",145,5.667346,0.011203,0.00093,1e-06
"Croton caracasanus","perennial",6,5.693366,0.008444,0.003447,3.3e-05
"Croton cascarilloides","perennial",55,5.69663,0.008236,0.001111,4e-06
"Croton catamarcensis","perennial",NA,NA,NA,NA,NA
"Croton caudatus","perennial",78,5.699634,0.010147,0.001149,3e-06
"Croton ceanothifolius","perennial",26,5.672662,0.007462,0.001463,8e-06
"Croton celtidifolius","perennial",43,5.678803,0.006934,0.001057,5e-06
"Croton cerinus","perennial",5,5.699539,0.001369,0.000612,4e-05
"Croton chamelensis","perennial",5,5.692448,0.009738,0.004355,4e-05
"Croton chichenensis","perennial",17,5.69581,0.010246,0.002485,1.2e-05
"Croton chilensis","perennial",1,5.675897,NA,NA,2e-04
"Croton chocoanus","perennial",9,5.689625,0.013234,0.004411,2.2e-05
"Croton chrysodaphne","perennial",13,5.690434,0.00593,0.001645,1.5e-05
"Croton ciliatoglandulifer","perennial",107,5.686747,0.011229,0.001086,2e-06
"Croton columnaris","perennial",NA,NA,NA,NA,NA
"Croton conduplicatus","perennial",34,5.696441,0.007892,0.001353,6e-06
"Croton conspurcatus","perennial",NA,NA,NA,NA,NA
"Croton cordiifolius","perennial",14,5.69315,0.007812,0.002088,1.4e-05
"Croton coriaceus","perennial",3,5.656263,0.033185,0.019159,6.7e-05
"Croton coriifolius","perennial",NA,NA,NA,NA,NA
"Croton corinthius","perennial",NA,NA,NA,NA,NA
"Croton coryi","annual",2,5.69171,0.000239,0.000169,1e-04
"Croton corylifolius","perennial",11,5.693576,0.010416,0.003141,1.8e-05
"Croton craspedotrichus","perennial",2,5.700778,0.000236,0.000167,1e-04
"Croton crassifolius","perennial",19,5.693396,0.009579,0.002198,1.1e-05
"Croton crocodilorum","perennial",15,5.691839,0.00922,0.002381,1.3e-05
"Croton culiacanensis","perennial",5,5.696516,0.004237,0.001895,4e-05
"Croton cuneatus","perennial",128,5.697607,0.005194,0.000459,2e-06
"Croton cupreatus","perennial",NA,NA,NA,NA,NA
"Croton cupulifer","perennial",2,5.689098,0.0177,0.012516,1e-04
